Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP David Newell,"LIB William Bryan Strange, |||",GRN George Joseph Altgelt,Totals
"Judge, Court of Criminal Appeals, Place 9",0001,417,466,883,2358,37.45%,320,148,165,633
"Judge, Court of Criminal Appeals, Place 9",0002,334,313,647,1961,32.99%,281,90,106,477
"Judge, Court of Criminal Appeals, Place 9",0003,326,405,731,1560,46.86%,281,114,143,538
"Judge, Court of Criminal Appeals, Place 9",0004,369,487,856,1668,51.32%,335,100,193,628
"Judge, Court of Criminal Appeals, Place 9",0005,280,448,728,1417,51.38%,274,112,159,545
"Judge, Court of Criminal Appeals, Place 9",0006,656,456,1112,3702,30.04%,667,127,77,871
"Judge, Court of Criminal Appeals, Place 9",0007,209,110,319,1017,31.37%,20,45,15,80
"Judge, Court of Criminal Appeals, Place 9",0008,393,310,703,1744,40.31%,385,61,104,550
"Judge, Court of Criminal Appeals, Place 9",0009,206,223,429,1874,22.89%,139,68,70,277
"Judge, Court of Criminal Appeals, Place 9",0010,255,171,426,1753,24.30%,142,51,41,234
"Judge, Court of Criminal Appeals, Place 9",0011,184,176,360,1785,20.17%,92,29,41,162
"Judge, Court of Criminal Appeals, Place 9",0012,86,66,152,735,20.68%,90,11,4,105
"Judge, Court of Criminal Appeals, Place 9",0013,548,361,909,2689,33.80%,676,48,36,760
"Judge, Court of Criminal Appeals, Place 9",0014,442,495,937,1870,50.11%,549,86,113,748
"Judge, Court of Criminal Appeals, Place 9",0015,597,898,1495,2878,51.95%,910,98,141,1149
"Judge, Court of Criminal Appeals, Place 9",0016,243,137,380,1071,35.48%,186,58,60,304
"Judge, Court of Criminal Appeals, Place 9",0017,185,215,400,1162,34.42%,190,41,53,284
"Judge, Court of Criminal Appeals, Place 9",0018,371,351,722,1443,50.03%,375,61,110,546
"Judge, Court of Criminal Appeals, Place 9",0019,172,207,379,1170,32.39%,143,65,77,285
"Judge, Court of Criminal Appeals, Place 9",0020,313,287,600,2646,22.68%,201,93,121,415
"Judge, Court of Criminal Appeals, Place 9",0021,179,184,363,1122,32.35%,80,76,74,230
"Judge, Court of Criminal Appeals, Place 9",0022,397,322,719,2473,29.07%,154,109,80,343
"Judge, Court of Criminal Appeals, Place 9",0023,31,22,53,541,9.80%,13,9,8,30
"Judge, Court of Criminal Appeals, Place 9",0024,107,88,195,655,29.77%,19,44,22,85
"Judge, Court of Criminal Appeals, Place 9",0025,105,143,248,1086,22.84%,18,18,21,57
"Judge, Court of Criminal Appeals, Place 9",0026,241,277,518,1845,28.08%,163,56,118,337
"Judge, Court of Criminal Appeals, Place 9",0027,463,427,890,3074,28.95%,269,106,185,560
"Judge, Court of Criminal Appeals, Place 9",0028,637,405,1042,3029,34.40%,702,67,39,808
"Judge, Court of Criminal Appeals, Place 9",0029,194,237,431,2638,16.34%,189,35,36,260
"Judge, Court of Criminal Appeals, Place 9",0030,369,391,760,2403,31.63%,218,126,127,471
"Judge, Court of Criminal Appeals, Place 9",0031,455,280,735,2511,29.27%,29,91,38,158
"Judge, Court of Criminal Appeals, Place 9",0032,320,405,725,2398,30.23%,309,139,118,566
"Judge, Court of Criminal Appeals, Place 9",0033,709,615,1324,3706,35.73%,469,230,312,1011
"Judge, Court of Criminal Appeals, Place 9",0034,626,579,1205,2786,43.25%,310,224,331,865
"Judge, Court of Criminal Appeals, Place 9",0035,4,0,4,11,36.36%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 9",0036,416,318,734,2927,25.08%,233,94,74,401
"Judge, Court of Criminal Appeals, Place 9",0037,542,436,978,2106,46.44%,329,141,237,707
"Judge, Court of Criminal Appeals, Place 9",0038,786,589,1375,2875,47.83%,523,194,290,1007
"Judge, Court of Criminal Appeals, Place 9",0039,659,575,1234,2759,44.73%,335,204,348,887
"Judge, Court of Criminal Appeals, Place 9",0040,136,152,288,541,53.23%,148,31,32,211
"Judge, Court of Criminal Appeals, Place 9",0041,176,230,406,1334,30.43%,180,57,46,283
