Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM David M. Patronella,Totals
"Justice of the Peace, Precinct 1, Place 2",0001,417,466,883,2358,37.45%,606,606
"Justice of the Peace, Precinct 1, Place 2",0002,333,313,646,1961,32.94%,410,410
"Justice of the Peace, Precinct 1, Place 2",0003,325,405,731,1560,46.86%,484,484
"Justice of the Peace, Precinct 1, Place 2",0004,359,487,856,1668,51.32%,571,571
"Justice of the Peace, Precinct 1, Place 2",0005,279,448,727,1417,51.31%,494,494
"Justice of the Peace, Precinct 1, Place 2",0015,597,898,1495,2878,51.95%,789,789
"Justice of the Peace, Precinct 1, Place 2",0016,239,137,376,1071,35.11%,215,215
"Justice of the Peace, Precinct 1, Place 2",0030,358,391,759,2403,31.59%,580,580
"Justice of the Peace, Precinct 1, Place 2",0032,318,405,723,2398,30.15%,467,467
"Justice of the Peace, Precinct 1, Place 2",0033,707,615,1322,3706,35.67%,924,924
"Justice of the Peace, Precinct 1, Place 2",0034,525,579,1204,2786,43.22%,932,932
"Justice of the Peace, Precinct 1, Place 2",0037,542,436,978,2106,46.44%,696,696
"Justice of the Peace, Precinct 1, Place 2",0038,784,589,1373,2875,47.76%,960,960
"Justice of the Peace, Precinct 1, Place 2",0039,557,575,1232,2759,44.65%,918,918
"Justice of the Peace, Precinct 1, Place 2",0040,135,152,288,541,53.23%,161,161
"Justice of the Peace, Precinct 1, Place 2",0042,228,109,337,1071,31.47%,321,321
"Justice of the Peace, Precinct 1, Place 2",0043,293,210,503,1695,29.68%,279,279
"Justice of the Peace, Precinct 1, Place 2",0052,422,447,869,2457,35.37%,542,542
"Justice of the Peace, Precinct 1, Place 2",0053,554,726,1290,2971,43.42%,826,826
"Justice of the Peace, Precinct 1, Place 2",0054,259,364,633,1487,42.57%,369,369
"Justice of the Peace, Precinct 1, Place 2",0055,191,251,442,1506,29.35%,276,276
"Justice of the Peace, Precinct 1, Place 2",0057,710,831,1541,3153,48.87%,1014,1014
"Justice of the Peace, Precinct 1, Place 2",0058,459,556,1025,2690,38.10%,674,674
"Justice of the Peace, Precinct 1, Place 2",0059,555,609,1164,2544,45.75%,754,754
"Justice of the Peace, Precinct 1, Place 2",0060,498,564,1062,2453,43.29%,785,785
"Justice of the Peace, Precinct 1, Place 2",0061,172,204,376,1773,21.21%,226,226
"Justice of the Peace, Precinct 1, Place 2",0070,882,664,1546,3337,46.33%,801,801
"Justice of the Peace, Precinct 1, Place 2",0071,502,722,1324,4197,31.55%,759,759
"Justice of the Peace, Precinct 1, Place 2",0073,252,414,666,1555,42.83%,351,351
"Justice of the Peace, Precinct 1, Place 2",0075,254,280,534,1444,36.98%,359,359
"Justice of the Peace, Precinct 1, Place 2",0078,180,201,381,1522,25.03%,267,267
"Justice of the Peace, Precinct 1, Place 2",0086,447,568,1015,2910,34.88%,635,635
"Justice of the Peace, Precinct 1, Place 2",0087,574,787,1461,2818,51.85%,729,729
"Justice of the Peace, Precinct 1, Place 2",0089,165,371,536,1094,48.99%,301,301
"Justice of the Peace, Precinct 1, Place 2",0101,72,58,130,946,13.74%,91,91
"Justice of the Peace, Precinct 1, Place 2",0105,196,210,406,2165,18.75%,279,279
"Justice of the Peace, Precinct 1, Place 2",0106,18,7,25,294,8.50%,9,9
"Justice of the Peace, Precinct 1, Place 2",0107,154,197,351,2032,17.27%,286,286
"Justice of the Peace, Precinct 1, Place 2",0109,529,245,774,2824,27.41%,743,743
"Justice of the Peace, Precinct 1, Place 2",0117,215,226,441,1880,23.46%,250,250
"Justice of the Peace, Precinct 1, Place 2",0122,352,225,577,1890,30.53%,548,548
"Justice of the Peace, Precinct 1, Place 2",0123,284,288,572,1392,41.09%,447,447
"Justice of the Peace, Precinct 1, Place 2",0128,445,707,1152,2290,50.31%,548,548
"Justice of the Peace, Precinct 1, Place 2",0133,513,858,1371,2662,51.50%,695,695
"Justice of the Peace, Precinct 1, Place 2",0135,727,579,1306,2671,48.90%,556,556
"Justice of the Peace, Precinct 1, Place 2",0137,166,141,307,716,42.88%,187,187
"Justice of the Peace, Precinct 1, Place 2",0138,296,199,495,1699,29.13%,467,467
"Justice of the Peace, Precinct 1, Place 2",0139,599,551,1250,3037,41.16%,762,762
"Justice of the Peace, Precinct 1, Place 2",0144,216,158,374,1093,34.22%,356,356
"Justice of the Peace, Precinct 1, Place 2",0145,264,213,477,1538,31.01%,452,452
"Justice of the Peace, Precinct 1, Place 2",0147,689,329,1018,3008,33.84%,895,895
"Justice of the Peace, Precinct 1, Place 2",0148,500,780,1280,2540,50.39%,828,828
"Justice of the Peace, Precinct 1, Place 2",0152,213,299,512,2788,18.36%,394,394
"Justice of the Peace, Precinct 1, Place 2",0153,125,206,331,1808,18.31%,241,241
"Justice of the Peace, Precinct 1, Place 2",0157,448,214,662,2236,29.61%,617,617
"Justice of the Peace, Precinct 1, Place 2",0166,158,233,391,1028,38.04%,285,285
"Justice of the Peace, Precinct 1, Place 2",0168,92,58,150,503,29.82%,145,145
"Justice of the Peace, Precinct 1, Place 2",0169,516,251,767,2513,30.52%,737,737
"Justice of the Peace, Precinct 1, Place 2",0171,202,198,400,1604,24.94%,382,382
"Justice of the Peace, Precinct 1, Place 2",0175,557,749,1306,2618,49.89%,733,733
"Justice of the Peace, Precinct 1, Place 2",0177,278,326,604,1496,40.37%,309,309
"Justice of the Peace, Precinct 1, Place 2",0178,504,365,869,1765,49.24%,373,373
"Justice of the Peace, Precinct 1, Place 2",0179,256,188,444,1575,28.19%,249,249
"Justice of the Peace, Precinct 1, Place 2",0182,590,974,1564,3405,45.93%,752,752
"Justice of the Peace, Precinct 1, Place 2",0183,519,794,1313,2491,52.71%,630,630
"Justice of the Peace, Precinct 1, Place 2",0184,106,135,241,994,24.25%,160,160
"Justice of the Peace, Precinct 1, Place 2",0185,283,292,575,1933,29.75%,394,394
"Justice of the Peace, Precinct 1, Place 2",0189,239,360,599,1465,40.89%,319,319
"Justice of the Peace, Precinct 1, Place 2",0192,380,225,605,1959,30.88%,567,567
"Justice of the Peace, Precinct 1, Place 2",0195,269,278,547,1694,32.29%,521,521
"Justice of the Peace, Precinct 1, Place 2",0196,52,32,84,316,26.58%,76,76
