Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM George E. Risner,Totals
"Justice of the Peace, Precinct 2, Place 2",0023,31,22,53,541,9.80%,42,42
"Justice of the Peace, Precinct 2, Place 2",0029,194,237,431,2638,16.34%,275,275
"Justice of the Peace, Precinct 2, Place 2",0036,416,318,734,2927,25.08%,539,539
"Justice of the Peace, Precinct 2, Place 2",0076,373,374,747,2362,31.63%,375,375
"Justice of the Peace, Precinct 2, Place 2",0077,43,46,89,566,15.72%,68,68
"Justice of the Peace, Precinct 2, Place 2",0080,501,351,852,2725,31.27%,657,657
"Justice of the Peace, Precinct 2, Place 2",0081,183,187,370,1835,20.16%,266,266
"Justice of the Peace, Precinct 2, Place 2",0093,381,301,682,3356,20.32%,434,434
"Justice of the Peace, Precinct 2, Place 2",0094,51,43,94,549,17.12%,66,66
"Justice of the Peace, Precinct 2, Place 2",0134,192,265,457,1437,31.80%,276,276
"Justice of the Peace, Precinct 2, Place 2",0142,87,103,190,902,21.06%,139,139
"Justice of the Peace, Precinct 2, Place 2",0162,101,83,184,1265,14.55%,119,119
"Justice of the Peace, Precinct 2, Place 2",0163,230,320,550,3037,18.11%,379,379
"Justice of the Peace, Precinct 2, Place 2",0164,182,205,387,1420,27.25%,373,373
"Justice of the Peace, Precinct 2, Place 2",0172,86,80,166,621,26.73%,104,104
"Justice of the Peace, Precinct 2, Place 2",0181,175,262,437,2061,21.20%,309,309
"Justice of the Peace, Precinct 2, Place 2",0188,153,146,299,1637,18.27%,187,187
"Justice of the Peace, Precinct 2, Place 2",0190,120,177,297,1723,17.24%,201,201
"Justice of the Peace, Precinct 2, Place 2",0191,79,126,205,1366,15.01%,132,132
"Justice of the Peace, Precinct 2, Place 2",0208,322,262,584,2195,26.61%,456,456
"Justice of the Peace, Precinct 2, Place 2",0211,307,386,693,2914,23.78%,456,456
"Justice of the Peace, Precinct 2, Place 2",0221,332,369,701,2529,27.72%,447,447
"Justice of the Peace, Precinct 2, Place 2",0229,31,96,127,815,15.58%,72,72
"Justice of the Peace, Precinct 2, Place 2",0231,233,264,497,2232,22.27%,367,367
"Justice of the Peace, Precinct 2, Place 2",0257,204,245,449,2523,17.80%,322,322
"Justice of the Peace, Precinct 2, Place 2",0259,656,382,1038,2361,43.96%,978,978
"Justice of the Peace, Precinct 2, Place 2",0275,207,236,443,1850,23.95%,359,359
"Justice of the Peace, Precinct 2, Place 2",0278,421,320,741,2454,30.20%,418,418
"Justice of the Peace, Precinct 2, Place 2",0280,130,188,318,1524,20.87%,194,194
"Justice of the Peace, Precinct 2, Place 2",0289,186,212,398,1564,25.45%,216,216
"Justice of the Peace, Precinct 2, Place 2",0301,210,255,465,2352,19.77%,311,311
"Justice of the Peace, Precinct 2, Place 2",0308,199,130,329,1296,25.39%,231,231
"Justice of the Peace, Precinct 2, Place 2",0328,151,140,291,1434,20.29%,180,180
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM George E. Risner,Totals
"Justice of the Peace, Precinct 2, Place 2",0329,189,184,373,1397,26.70%,253,253
"Justice of the Peace, Precinct 2, Place 2",0349,188,267,455,1349,33.73%,200,200
"Justice of the Peace, Precinct 2, Place 2",0373,21,12,33,157,21.02%,30,30
"Justice of the Peace, Precinct 2, Place 2",0374,85,93,158,738,21.41%,105,105
"Justice of the Peace, Precinct 2, Place 2",0378,232,354,586,1829,32.04%,257,257
"Justice of the Peace, Precinct 2, Place 2",0379,431,289,720,2027,35.52%,634,634
"Justice of the Peace, Precinct 2, Place 2",0394,89,73,142,834,17.03%,89,89
"Justice of the Peace, Precinct 2, Place 2",0417,353,385,738,2448,30.15%,415,415
