Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Don Coffey,Totals
"Justice of the Peace, Precinct 3, Place 2",0007,209,110,319,1017,31.37%,299,299
"Justice of the Peace, Precinct 3, Place 2",0012,86,66,152,735,20.68%,78,78
"Justice of the Peace, Precinct 3, Place 2",0013,548,361,909,2689,33.80%,366,366
"Justice of the Peace, Precinct 3, Place 2",0028,636,405,1041,3029,34.37%,487,487
"Justice of the Peace, Precinct 3, Place 2",0045,894,750,1644,6698,24.54%,1356,1356
"Justice of the Peace, Precinct 3, Place 2",0063,264,354,618,1826,33.84%,220,220
"Justice of the Peace, Precinct 3, Place 2",0083,1296,888,2184,6625,32.97%,1269,1269
"Justice of the Peace, Precinct 3, Place 2",0097,1024,725,1749,4828,36.23%,669,669
"Justice of the Peace, Precinct 3, Place 2",0098,403,488,891,2651,33.61%,249,249
"Justice of the Peace, Precinct 3, Place 2",0099,254,184,438,2092,20.94%,259,259
"Justice of the Peace, Precinct 3, Place 2",0100,165,173,338,1730,19.54%,187,187
"Justice of the Peace, Precinct 3, Place 2",0102,207,121,328,1872,17.52%,246,246
"Justice of the Peace, Precinct 3, Place 2",0103,700,714,1414,5371,26.33%,745,745
"Justice of the Peace, Precinct 3, Place 2",0104,530,231,761,1905,39.95%,725,725
"Justice of the Peace, Precinct 3, Place 2",0115,238,150,388,1800,21.56%,338,338
"Justice of the Peace, Precinct 3, Place 2",0141,80,80,160,855,18.71%,69,69
"Justice of the Peace, Precinct 3, Place 2",0150,236,169,405,1256,32.25%,387,387
"Justice of the Peace, Precinct 3, Place 2",0151,137,79,216,826,26.15%,202,202
"Justice of the Peace, Precinct 3, Place 2",0205,464,171,635,1664,38.16%,612,612
"Justice of the Peace, Precinct 3, Place 2",0220,325,187,512,2310,22.16%,185,185
"Justice of the Peace, Precinct 3, Place 2",0248,161,167,328,2100,15.62%,248,248
"Justice of the Peace, Precinct 3, Place 2",0249,461,348,809,2719,29.75%,343,343
"Justice of the Peace, Precinct 3, Place 2",0250,109,164,273,964,28.32%,264,264
"Justice of the Peace, Precinct 3, Place 2",0251,278,436,714,2089,34.18%,682,682
"Justice of the Peace, Precinct 3, Place 2",0252,504,312,816,2377,34.33%,791,791
"Justice of the Peace, Precinct 3, Place 2",0253,379,222,601,2177,27.61%,582,582
"Justice of the Peace, Precinct 3, Place 2",0254,93,112,205,1550,13.23%,154,154
"Justice of the Peace, Precinct 3, Place 2",0266,259,257,516,2104,24.52%,293,293
"Justice of the Peace, Precinct 3, Place 2",0353,665,451,1116,3862,28.90%,936,936
"Justice of the Peace, Precinct 3, Place 2",0354,715,338,1053,3388,31.08%,804,804
"Justice of the Peace, Precinct 3, Place 2",0368,178,88,266,958,27.77%,203,203
"Justice of the Peace, Precinct 3, Place 2",0371,122,52,174,502,34.66%,163,163
"Justice of the Peace, Precinct 3, Place 2",0375,254,220,474,2645,17.92%,265,265
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Don Coffey,Totals
