Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Williams,Totals
"Justice of the Peace, Precinct 5, Place 2",0008,393,310,703,1744,40.31%,404,404
"Justice of the Peace, Precinct 5, Place 2",0014,442,495,937,1870,50.11%,552,552
"Justice of the Peace, Precinct 5, Place 2",0050,785,771,1556,5211,29.86%,956,956
"Justice of the Peace, Precinct 5, Place 2",0056,282,278,560,1326,42.23%,391,391
"Justice of the Peace, Precinct 5, Place 2",0095,917,576,1493,3177,46.99%,1125,1125
"Justice of the Peace, Precinct 5, Place 2",0096,83,83,166,1296,12.81%,38,38
"Justice of the Peace, Precinct 5, Place 2",0116,982,776,1758,3147,55.86%,1374,1374
"Justice of the Peace, Precinct 5, Place 2",0118,304,123,427,759,56.26%,363,363
"Justice of the Peace, Precinct 5, Place 2",0119,1288,1024,2312,5500,42.04%,1948,1948
"Justice of the Peace, Precinct 5, Place 2",0120,712,422,1134,3191,35.54%,797,797
"Justice of the Peace, Precinct 5, Place 2",0121,92,178,270,848,31.84%,198,198
"Justice of the Peace, Precinct 5, Place 2",0129,1030,1200,2230,5746,38.81%,1524,1524
"Justice of the Peace, Precinct 5, Place 2",0130,727,523,1250,2333,53.58%,954,954
"Justice of the Peace, Precinct 5, Place 2",0143,1962,580,2542,6386,39.81%,1933,1933
"Justice of the Peace, Precinct 5, Place 2",0146,426,519,945,2008,47.06%,484,484
"Justice of the Peace, Precinct 5, Place 2",0149,1621,737,2358,7993,29.50%,1401,1401
"Justice of the Peace, Precinct 5, Place 2",0155,1022,619,1641,4109,39.94%,1212,1212
"Justice of the Peace, Precinct 5, Place 2",0165,535,483,1018,2334,43.62%,715,715
"Justice of the Peace, Precinct 5, Place 2",0176,344,451,795,1602,49.63%,453,453
"Justice of the Peace, Precinct 5, Place 2",0209,0,2,2,0,0.00%,2,2
"Justice of the Peace, Precinct 5, Place 2",0213,825,913,1739,3350,51.91%,1405,1405
"Justice of the Peace, Precinct 5, Place 2",0234,1192,913,2105,3993,52.72%,1644,1644
"Justice of the Peace, Precinct 5, Place 2",0256,575,449,1024,3254,31.47%,548,548
"Justice of the Peace, Precinct 5, Place 2",0258,839,800,1639,3322,49.34%,1238,1238
"Justice of the Peace, Precinct 5, Place 2",0260,162,145,307,1260,24.37%,202,202
"Justice of the Peace, Precinct 5, Place 2",0262,758,600,1358,4397,30.88%,916,916
"Justice of the Peace, Precinct 5, Place 2",0264,480,457,937,2963,31.62%,625,625
"Justice of the Peace, Precinct 5, Place 2",0265,988,759,1747,3584,48.74%,1351,1351
"Justice of the Peace, Precinct 5, Place 2",0269,702,453,1155,2030,56.90%,922,922
"Justice of the Peace, Precinct 5, Place 2",0272,264,292,556,2162,25.72%,271,271
"Justice of the Peace, Precinct 5, Place 2",0273,548,689,1237,2470,50.08%,1018,1018
"Justice of the Peace, Precinct 5, Place 2",0274,588,346,934,2153,43.38%,668,668
"Justice of the Peace, Precinct 5, Place 2",0281,655,742,1397,2633,53.06%,751,751
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Williams,Totals
"Justice of the Peace, Precinct 5, Place 2",0282,314,455,769,2042,37.66%,521,521
"Justice of the Peace, Precinct 5, Place 2",0283,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 5, Place 2",0284,574,336,910,3172,28.69%,477,477
"Justice of the Peace, Precinct 5, Place 2",0293,356,447,803,1759,45.65%,422,422
"Justice of the Peace, Precinct 5, Place 2",0296,327,340,667,1713,38.94%,420,420
"Justice of the Peace, Precinct 5, Place 2",0297,280,249,529,2012,26.29%,272,272
"Justice of the Peace, Precinct 5, Place 2",0298,415,358,773,2121,36.45%,497,497
"Justice of the Peace, Precinct 5, Place 2",0303,922,784,1706,3245,52.57%,1389,1389
"Justice of the Peace, Precinct 5, Place 2",0304,505,505,1111,2298,48.35%,680,680
"Justice of the Peace, Precinct 5, Place 2",0305,524,432,956,4191,22.81%,475,475
"Justice of the Peace, Precinct 5, Place 2",0309,708,593,1301,2524,51.55%,1065,1065
