Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Armando V. Rodriguez,Totals
"Justice of the Peace, Precinct 6, Place 2",0009,206,223,429,1874,22.89%,315,315
"Justice of the Peace, Precinct 6, Place 2",0010,255,171,426,1753,24.30%,314,314
"Justice of the Peace, Precinct 6, Place 2",0011,184,176,360,1785,20.17%,289,289
"Justice of the Peace, Precinct 6, Place 2",0019,170,207,377,1170,32.22%,267,267
"Justice of the Peace, Precinct 6, Place 2",0026,239,277,516,1845,27.97%,379,379
"Justice of the Peace, Precinct 6, Place 2",0027,463,427,890,3074,28.95%,684,684
"Justice of the Peace, Precinct 6, Place 2",0044,204,222,426,2001,21.29%,322,322
"Justice of the Peace, Precinct 6, Place 2",0046,290,247,537,2511,21.39%,440,440
"Justice of the Peace, Precinct 6, Place 2",0047,213,218,431,1627,26.49%,405,405
"Justice of the Peace, Precinct 6, Place 2",0048,157,142,299,940,31.81%,272,272
"Justice of the Peace, Precinct 6, Place 2",0062,145,322,467,2181,21.41%,365,365
"Justice of the Peace, Precinct 6, Place 2",0064,191,221,412,2141,19.24%,335,335
"Justice of the Peace, Precinct 6, Place 2",0065,172,230,402,2167,18.55%,315,315
"Justice of the Peace, Precinct 6, Place 2",0066,69,143,212,1098,19.31%,174,174
"Justice of the Peace, Precinct 6, Place 2",0067,304,282,586,2794,20.97%,422,422
"Justice of the Peace, Precinct 6, Place 2",0069,80,124,204,1284,15.89%,162,162
"Justice of the Peace, Precinct 6, Place 2",0072,220,293,513,1924,26.66%,389,389
"Justice of the Peace, Precinct 6, Place 2",0079,205,306,511,2927,17.46%,398,398
"Justice of the Peace, Precinct 6, Place 2",0154,249,183,432,2190,19.73%,344,344
"Justice of the Peace, Precinct 6, Place 2",0159,116,127,243,998,24.35%,209,209
"Justice of the Peace, Precinct 6, Place 2",0160,122,73,195,696,28.02%,189,189
"Justice of the Peace, Precinct 6, Place 2",0161,163,141,304,991,30.68%,288,288
"Justice of the Peace, Precinct 6, Place 2",0167,3,0,3,24,12.50%,3,3
"Justice of the Peace, Precinct 6, Place 2",0186,97,106,203,798,25.44%,175,175
"Justice of the Peace, Precinct 6, Place 2",0187,21,25,46,311,14.79%,33,33
"Justice of the Peace, Precinct 6, Place 2",0201,98,87,185,724,25.55%,180,180
"Justice of the Peace, Precinct 6, Place 2",0202,217,189,406,1464,27.73%,388,388
"Justice of the Peace, Precinct 6, Place 2",0203,107,68,175,960,18.23%,142,142
"Justice of the Peace, Precinct 6, Place 2",0218,391,402,793,2292,34.60%,554,554
"Justice of the Peace, Precinct 6, Place 2",0226,227,307,534,2436,21.92%,416,416
"Justice of the Peace, Precinct 6, Place 2",0285,448,378,826,2540,32.52%,744,744
"Justice of the Peace, Precinct 6, Place 2",0339,202,222,424,1757,24.13%,338,338
"Justice of the Peace, Precinct 6, Place 2",0343,189,271,460,1964,23.42%,339,339
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Armando V. Rodriguez,Totals
"Justice of the Peace, Precinct 6, Place 2",0412,74,44,118,468,25.21%,104,104
"Justice of the Peace, Precinct 6, Place 2",0530,114,107,221,1196,18.48%,170,170
"Justice of the Peace, Precinct 6, Place 2",0560,72,131,203,1120,18.13%,153,153
"Justice of the Peace, Precinct 6, Place 2",0736,3,1,4,22,18.18%,3,3
"Justice of the Peace, Precinct 6, Place 2",0766,40,25,65,392,16.58%,47,47
"Justice of the Peace, Precinct 6, Place 2",0844,1,0,1,11,9.09%,1,1
"Justice of the Peace, Precinct 6, Place 2",0846,23,24,47,229,20.52%,43,43
"Justice of the Peace, Precinct 6, Place 2",0852,0,0,0,1,0.00%,0,0
"Justice of the Peace, Precinct 6, Place 2",0854,15,26,41,172,23.84%,35,35
"Justice of the Peace, Precinct 6, Place 2",0856,0,1,1,0,0.00%,1,1
"Justice of the Peace, Precinct 6, Place 2",0865,2,3,5,21,23.81%,5,5
"Justice of the Peace, Precinct 6, Place 2",0866,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 6, Place 2",0867,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 6, Place 2",0871,1,0,1,3,33.33%,1,1
"Justice of the Peace, Precinct 6, Place 2",0889,14,0,14,57,24.56%,8,8
"Justice of the Peace, Precinct 6, Place 2",0892,115,86,201,808,24.88%,129,129
"Justice of the Peace, Precinct 6, Place 2",0899,2,0,2,8,25.00%,2,2
"Justice of the Peace, Precinct 6, Place 2",0900,0,2,2,10,20.00%,2,2
"Justice of the Peace, Precinct 6, Place 2",0924,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 6, Place 2",0929,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 6, Place 2",0945,1,2,3,17,17.65%,2,2
"Justice of the Peace, Precinct 6, Place 2",0946,0,1,1,13,7.69%,1,1
"Justice of the Peace, Precinct 6, Place 2",1046,11,5,16,62,25.81%,16,16
"Justice of the Peace, Precinct 6, Place 2",1055,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 6, Place 2",1056,4,2,6,8,75.00%,6,6
"Justice of the Peace, Precinct 6, Place 2",1057,7,9,16,118,13.56%,14,14
"Justice of the Peace, Precinct 6, Place 2",1059,3,3,6,28,21.43%,5,5
"Justice of the Peace, Precinct 6, Place 2",Totals:,6919,7282,14201,60005,11337,11337
