Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Zinetta Burney,Totals
"Justice of the Peace, Precinct 7, Place 2",0017,185,215,400,1162,34.42%,239,239
"Justice of the Peace, Precinct 7, Place 2",0018,371,351,722,1443,50.03%,410,410
"Justice of the Peace, Precinct 7, Place 2",0020,311,287,598,2646,22.60%,425,425
"Justice of the Peace, Precinct 7, Place 2",0021,176,184,360,1122,32.09%,287,287
"Justice of the Peace, Precinct 7, Place 2",0022,397,322,719,2473,29.07%,579,579
"Justice of the Peace, Precinct 7, Place 2",0024,106,88,194,655,29.62%,175,175
"Justice of the Peace, Precinct 7, Place 2",0025,104,143,247,1086,22.74%,232,232
"Justice of the Peace, Precinct 7, Place 2",0031,453,280,733,2511,29.19%,702,702
"Justice of the Peace, Precinct 7, Place 2",0068,553,352,905,2924,30.95%,871,871
"Justice of the Peace, Precinct 7, Place 2",0085,271,248,519,2173,23.88%,496,496
"Justice of the Peace, Precinct 7, Place 2",0131,251,259,510,1935,26.36%,375,375
"Justice of the Peace, Precinct 7, Place 2",0132,593,323,916,2387,38.37%,879,879
"Justice of the Peace, Precinct 7, Place 2",0136,503,371,874,2013,43.42%,823,823
"Justice of the Peace, Precinct 7, Place 2",0140,699,480,1179,3214,36.68%,1038,1038
"Justice of the Peace, Precinct 7, Place 2",0156,799,326,1125,3071,36.63%,1071,1071
"Justice of the Peace, Precinct 7, Place 2",0158,600,315,915,3035,30.15%,873,873
"Justice of the Peace, Precinct 7, Place 2",0180,470,343,813,2834,28.69%,767,767
"Justice of the Peace, Precinct 7, Place 2",0193,173,187,360,1074,33.52%,340,340
"Justice of the Peace, Precinct 7, Place 2",0194,350,431,781,1912,40.85%,555,555
"Justice of the Peace, Precinct 7, Place 2",0198,53,74,127,642,19.78%,125,125
"Justice of the Peace, Precinct 7, Place 2",0210,502,467,969,2533,38.26%,858,858
"Justice of the Peace, Precinct 7, Place 2",0216,362,223,585,1945,30.08%,540,540
"Justice of the Peace, Precinct 7, Place 2",0219,496,436,932,2767,33.68%,851,851
"Justice of the Peace, Precinct 7, Place 2",0223,563,377,940,3582,26.24%,700,700
"Justice of the Peace, Precinct 7, Place 2",0224,530,456,986,2238,44.06%,548,548
"Justice of the Peace, Precinct 7, Place 2",0228,362,195,557,1050,53.05%,519,519
"Justice of the Peace, Precinct 7, Place 2",0235,240,158,398,1356,29.35%,375,375
"Justice of the Peace, Precinct 7, Place 2",0236,354,235,589,2079,28.33%,563,563
"Justice of the Peace, Precinct 7, Place 2",0237,416,253,669,2161,30.96%,646,646
"Justice of the Peace, Precinct 7, Place 2",0238,339,245,584,1925,30.34%,556,556
"Justice of the Peace, Precinct 7, Place 2",0239,383,236,619,1964,31.52%,591,591
"Justice of the Peace, Precinct 7, Place 2",0240,585,243,828,2649,31.26%,795,795
"Justice of the Peace, Precinct 7, Place 2",0243,138,43,181,457,39.61%,178,178
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Zinetta Burney,Totals
"Justice of the Peace, Precinct 7, Place 2",0247,173,254,427,1582,26.99%,407,407
"Justice of the Peace, Precinct 7, Place 2",0255,525,648,1173,2482,47.26%,652,652
"Justice of the Peace, Precinct 7, Place 2",0271,656,382,1038,2518,41.22%,997,997
