Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Wise,DEM Gordon Goodman,Totals
"Justice, 14th Court of Appeals District, Place 7",0001,417,466,883,2358,37.45%,293,535,828
"Justice, 14th Court of Appeals District, Place 7",0002,333,313,646,1961,32.94%,271,328,599
"Justice, 14th Court of Appeals District, Place 7",0003,325,405,731,1560,46.86%,276,389,665
"Justice, 14th Court of Appeals District, Place 7",0004,359,487,856,1668,51.32%,328,467,795
"Justice, 14th Court of Appeals District, Place 7",0005,279,448,727,1417,51.31%,271,399,670
"Justice, 14th Court of Appeals District, Place 7",0006,555,456,1112,3702,30.04%,648,434,1082
"Justice, 14th Court of Appeals District, Place 7",0007,209,110,319,1017,31.37%,16,293,309
"Justice, 14th Court of Appeals District, Place 7",0008,393,310,703,1744,40.31%,365,311,676
"Justice, 14th Court of Appeals District, Place 7",0009,206,223,429,1874,22.89%,118,282,400
"Justice, 14th Court of Appeals District, Place 7",0010,255,171,426,1753,24.30%,125,271,396
"Justice, 14th Court of Appeals District, Place 7",0011,184,176,360,1785,20.17%,68,266,334
"Justice, 14th Court of Appeals District, Place 7",0012,55,66,152,735,20.68%,87,61,148
"Justice, 14th Court of Appeals District, Place 7",0013,548,361,909,2689,33.80%,672,203,875
"Justice, 14th Court of Appeals District, Place 7",0014,442,495,937,1870,50.11%,513,379,892
"Justice, 14th Court of Appeals District, Place 7",0015,597,898,1495,2878,51.95%,917,469,1386
"Justice, 14th Court of Appeals District, Place 7",0016,239,137,376,1071,35.11%,182,177,359
"Justice, 14th Court of Appeals District, Place 7",0017,185,215,400,1162,34.42%,178,196,374
"Justice, 14th Court of Appeals District, Place 7",0018,371,351,722,1443,50.03%,353,320,673
"Justice, 14th Court of Appeals District, Place 7",0019,171,207,378,1170,32.31%,126,234,360
"Justice, 14th Court of Appeals District, Place 7",0020,312,287,599,2646,22.64%,185,384,569
"Justice, 14th Court of Appeals District, Place 7",0021,175,184,362,1122,32.26%,79,267,346
"Justice, 14th Court of Appeals District, Place 7",0022,397,322,719,2473,29.07%,141,556,697
"Justice, 14th Court of Appeals District, Place 7",0023,31,22,53,541,9.80%,9,43,52
"Justice, 14th Court of Appeals District, Place 7",0024,106,88,194,655,29.62%,16,171,187
"Justice, 14th Court of Appeals District, Place 7",0025,105,143,248,1086,22.84%,14,229,243
"Justice, 14th Court of Appeals District, Place 7",0026,239,277,516,1845,27.97%,141,336,477
"Justice, 14th Court of Appeals District, Place 7",0027,463,427,890,3074,28.95%,234,616,850
"Justice, 14th Court of Appeals District, Place 7",0028,535,405,1041,3029,34.37%,673,319,992
"Justice, 14th Court of Appeals District, Place 7",0029,194,237,431,2638,16.34%,168,242,410
"Justice, 14th Court of Appeals District, Place 7",0030,358,391,759,2403,31.59%,212,522,734
"Justice, 14th Court of Appeals District, Place 7",0031,453,280,733,2511,29.19%,17,694,711
"Justice, 14th Court of Appeals District, Place 7",0032,318,405,723,2398,30.15%,291,388,679
"Justice, 14th Court of Appeals District, Place 7",0033,707,615,1322,3706,35.67%,455,796,1251
"Justice, 14th Court of Appeals District, Place 7",0034,625,579,1204,2786,43.22%,308,839,1147
"Justice, 14th Court of Appeals District, Place 7",0035,4,0,4,11,36.36%,1,3,4
"Justice, 14th Court of Appeals District, Place 7",0036,416,318,734,2927,25.08%,207,492,699
"Justice, 14th Court of Appeals District, Place 7",0037,542,436,978,2106,46.44%,304,614,918
"Justice, 14th Court of Appeals District, Place 7",0038,784,589,1373,2875,47.76%,497,799,1296
"Justice, 14th Court of Appeals District, Place 7",0039,657,575,1232,2759,44.65%,316,839,1155
"Justice, 14th Court of Appeals District, Place 7",0040,136,152,288,541,53.23%,149,122,271
"Justice, 14th Court of Appeals District, Place 7",0041,176,230,406,1334,30.43%,169,226,395
"Justice, 14th Court of Appeals District, Place 7",0042,228,109,337,1071,31.47%,6,321,327
"Justice, 14th Court of Appeals District, Place 7",0043,293,210,503,1695,29.68%,275,204,479
"Justice, 14th Court of Appeals District, Place 7",0044,204,222,426,2001,21.29%,106,292,398
"Justice, 14th Court of Appeals District, Place 7",0045,894,750,1644,6698,24.54%,331,1268,1599
"Justice, 14th Court of Appeals District, Place 7",0046,290,247,537,2511,21.39%,99,410,509
"Justice, 14th Court of Appeals District, Place 7",0047,213,218,431,1627,26.49%,16,404,420
"Justice, 14th Court of Appeals District, Place 7",0048,157,142,299,940,31.81%,26,265,291
"Justice, 14th Court of Appeals District, Place 7",0049,584,482,1066,3343,31.89%,783,254,1037
"Justice, 14th Court of Appeals District, Place 7",0050,785,771,1556,5211,29.86%,865,645,1510
"Justice, 14th Court of Appeals District, Place 7",0051,353,243,596,1689,35.29%,449,131,580
