Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0001,417,466,883,2358,37.45%,278,553,831
"Justice, 1st Court of Appeals District, Place 3",0002,333,313,646,1961,32.94%,269,340,609
"Justice, 1st Court of Appeals District, Place 3",0003,326,405,731,1560,46.86%,246,430,676
"Justice, 1st Court of Appeals District, Place 3",0004,369,487,856,1668,51.32%,321,492,813
"Justice, 1st Court of Appeals District, Place 3",0005,279,448,727,1417,51.31%,247,437,684
"Justice, 1st Court of Appeals District, Place 3",0006,656,456,1112,3702,30.04%,634,448,1082
"Justice, 1st Court of Appeals District, Place 3",0007,209,110,319,1017,31.37%,12,296,308
"Justice, 1st Court of Appeals District, Place 3",0008,393,310,703,1744,40.31%,357,322,679
"Justice, 1st Court of Appeals District, Place 3",0009,206,223,429,1874,22.89%,120,280,400
"Justice, 1st Court of Appeals District, Place 3",0010,255,171,426,1753,24.30%,119,281,400
"Justice, 1st Court of Appeals District, Place 3",0011,184,176,360,1785,20.17%,71,268,339
"Justice, 1st Court of Appeals District, Place 3",0012,86,66,152,735,20.68%,85,62,147
"Justice, 1st Court of Appeals District, Place 3",0013,548,361,909,2689,33.80%,655,217,872
"Justice, 1st Court of Appeals District, Place 3",0014,442,495,937,1870,50.11%,495,400,895
"Justice, 1st Court of Appeals District, Place 3",0015,597,898,1495,2878,51.95%,880,516,1396
"Justice, 1st Court of Appeals District, Place 3",0016,239,137,376,1071,35.11%,169,190,359
"Justice, 1st Court of Appeals District, Place 3",0017,185,215,400,1162,34.42%,179,197,376
"Justice, 1st Court of Appeals District, Place 3",0018,371,351,722,1443,50.03%,340,344,684
"Justice, 1st Court of Appeals District, Place 3",0019,171,207,378,1170,32.31%,125,236,361
"Justice, 1st Court of Appeals District, Place 3",0020,312,287,599,2646,22.64%,175,400,575
"Justice, 1st Court of Appeals District, Place 3",0021,178,184,362,1122,32.26%,74,275,349
"Justice, 1st Court of Appeals District, Place 3",0022,397,322,719,2473,29.07%,137,561,698
"Justice, 1st Court of Appeals District, Place 3",0023,31,22,53,541,9.80%,9,43,52
"Justice, 1st Court of Appeals District, Place 3",0024,106,88,194,655,29.62%,16,170,186
"Justice, 1st Court of Appeals District, Place 3",0025,105,143,248,1086,22.84%,14,230,244
"Justice, 1st Court of Appeals District, Place 3",0026,239,277,516,1845,27.97%,129,347,476
"Justice, 1st Court of Appeals District, Place 3",0027,463,427,890,3074,28.95%,226,625,851
"Justice, 1st Court of Appeals District, Place 3",0028,636,405,1041,3029,34.37%,678,319,997
"Justice, 1st Court of Appeals District, Place 3",0029,194,237,431,2638,16.34%,166,243,409
"Justice, 1st Court of Appeals District, Place 3",0030,368,391,759,2403,31.59%,199,537,736
"Justice, 1st Court of Appeals District, Place 3",0031,453,280,733,2511,29.19%,18,695,713
"Justice, 1st Court of Appeals District, Place 3",0032,318,405,723,2398,30.15%,288,398,686
"Justice, 1st Court of Appeals District, Place 3",0033,707,615,1322,3706,35.67%,429,822,1251
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0034,625,579,1204,2786,43.22%,292,866,1158
"Justice, 1st Court of Appeals District, Place 3",0035,4,0,4,11,36.36%,1,3,4
"Justice, 1st Court of Appeals District, Place 3",0036,416,318,734,2927,25.08%,202,496,698
"Justice, 1st Court of Appeals District, Place 3",0037,542,436,978,2106,46.44%,295,628,923
"Justice, 1st Court of Appeals District, Place 3",0038,784,589,1373,2875,47.76%,460,843,1303
"Justice, 1st Court of Appeals District, Place 3",0039,657,575,1232,2759,44.65%,296,874,1170
"Justice, 1st Court of Appeals District, Place 3",0040,136,152,288,541,53.23%,145,128,273
"Justice, 1st Court of Appeals District, Place 3",0041,176,230,406,1334,30.43%,166,233,399
"Justice, 1st Court of Appeals District, Place 3",0042,228,109,337,1071,31.47%,5,324,329
"Justice, 1st Court of Appeals District, Place 3",0043,293,210,503,1695,29.68%,274,206,480
"Justice, 1st Court of Appeals District, Place 3",0044,204,222,426,2001,21.29%,100,301,401
"Justice, 1st Court of Appeals District, Place 3",0045,894,750,1644,6698,24.54%,309,1292,1601
"Justice, 1st Court of Appeals District, Place 3",0046,290,247,537,2511,21.39%,88,423,511
"Justice, 1st Court of Appeals District, Place 3",0047,213,218,431,1627,26.49%,18,406,424
"Justice, 1st Court of Appeals District, Place 3",0048,157,142,299,940,31.81%,24,270,294
"Justice, 1st Court of Appeals District, Place 3",0049,584,482,1066,3343,31.89%,778,260,1038
"Justice, 1st Court of Appeals District, Place 3",0050,785,771,1556,5211,29.86%,844,672,1516
"Justice, 1st Court of Appeals District, Place 3",0051,353,243,596,1689,35.29%,445,134,579
"Justice, 1st Court of Appeals District, Place 3",0052,422,447,869,2457,35.37%,403,423,826
"Justice, 1st Court of Appeals District, Place 3",0053,564,726,1290,2971,43.42%,542,687,1229
"Justice, 1st Court of Appeals District, Place 3",0054,269,364,633,1487,42.57%,31,7,287,604
"Justice, 1st Court of Appeals District, Place 3",0055,191,251,442,1506,29.35%,196,223,419
"Justice, 1st Court of Appeals District, Place 3",0056,282,278,560,1326,42.23%,377,160,537
"Justice, 1st Court of Appeals District, Place 3",0057,710,831,1541,3153,48.87%,614,838,1452
"Justice, 1st Court of Appeals District, Place 3",0058,469,556,1025,2690,38.10%,436,548,984
"Justice, 1st Court of Appeals District, Place 3",0059,555,609,1164,2544,45.75%,452,649,1101
"Justice, 1st Court of Appeals District, Place 3",0060,499,564,1063,2453,43.33%,258,739,997
"Justice, 1st Court of Appeals District, Place 3",0061,172,204,376,1773,21.21,%,156,198,354
"Justice, 1st Court of Appeals District, Place 3",0062,145,322,467,2181,21.41%,118,324,442
"Justice, 1st Court of Appeals District, Place 3",0063,264,354,618,1826,33.84%,497,109,606
"Justice, 1st Court of Appeals District, Place 3",0064,191,221,412,2141,19.24%,81,309,390
"Justice, 1st Court of Appeals District, Place 3",0065,172,230,402,2167,18.55%,95,287,382
"Justice, 1st Court of Appeals District, Place 3",0066,69,143,212,1098,19.31%,38,163,201
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0067,304,282,586,2794,20.97%,169,385,554
"Justice, 1st Court of Appeals District, Place 3",0068,553,352,905,2924,30.95%,20,865,885
"Justice, 1st Court of Appeals District, Place 3",0069,80,124,204,1284,15.89%,43,150,193
"Justice, 1st Court of Appeals District, Place 3",0070,882,664,1546,3337,46.33%,909,547,1456
"Justice, 1st Court of Appeals District, Place 3",0071,602,722,1324,4197,31.55%,648,614,1262
"Justice, 1st Court of Appeals District, Place 3",0072,220,293,513,1924,26.66%,161,328,489
"Justice, 1st Court of Appeals District, Place 3",0073,252,414,666,1555,42.83%,368,258,626
"Justice, 1st Court of Appeals District, Place 3",0074,1153,782,1935,3583,54.01%,1499,358,1857
"Justice, 1st Court of Appeals District, Place 3",0075,254,280,534,1444,36.98%,200,305,505
"Justice, 1st Court of Appeals District, Place 3",0076,373,374,747,2362,31.63%,433,287,720
"Justice, 1st Court of Appeals District, Place 3",0077,43,46,89,566,15.72%,20,65,85
"Justice, 1st Court of Appeals District, Place 3",0078,180,201,381,1522,25.03%,132,233,365
"Justice, 1st Court of Appeals District, Place 3",0079,205,306,511,2927,17.46%,127,351,478
"Justice, 1st Court of Appeals District, Place 3",0080,501,351,852,2725,31.27%,207,607,814
"Justice, 1st Court of Appeals District, Place 3",0081,183,187,370,1835,20.16%,141,211,352
"Justice, 1st Court of Appeals District, Place 3",0082,639,671,1310,3368,38.90%,985,295,1280
"Justice, 1st Court of Appeals District, Place 3",0083,1296,888,2184,6625,32.97%,1062,1057,2119
"Justice, 1st Court of Appeals District, Place 3",0084,208,218,426,1373,31.03%,306,104,410
"Justice, 1st Court of Appeals District, Place 3",0085,271,248,519,2173,23.88%,20,490,510
"Justice, 1st Court of Appeals District, Place 3",0086,447,568,1015,2910,34.88%,454,516,970
"Justice, 1st Court of Appeals District, Place 3",0087,574,787,1461,2818,51.85%,928,459,1387
"Justice, 1st Court of Appeals District, Place 3",0088,123,118,241,693,34.78%,154,79,233
"Justice, 1st Court of Appeals District, Place 3",0089,165,371,536,1094,48.99%,296,207,503
"Justice, 1st Court of Appeals District, Place 3",0090,844,790,1634,3700,44.16%,1193,388,1581
"Justice, 1st Court of Appeals District, Place 3",0091,219,222,441,1505,29.30%,264,161,425
"Justice, 1st Court of Appeals District, Place 3",0092,695,462,1157,2242,51.61%,767,333,1100
"Justice, 1st Court of Appeals District, Place 3",0093,381,301,682,3356,20.32%,274,373,647
"Justice, 1st Court of Appeals District, Place 3",0094,51,43,94,549,17.12%,25,64,89
"Justice, 1st Court of Appeals District, Place 3",0095,917,576,1493,3177,46.99%,1102,337,1439
"Justice, 1st Court of Appeals District, Place 3",0096,83,83,166,1296,12.81%,22,143,165
"Justice, 1st Court of Appeals District, Place 3",0097,1024,725,1749,4828,36.23%,1295,406,1701
