Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Lawrence Edward Meyers,LIB Mark Ash,Totals
"Justice, Supreme Court, Place 6, Unexpired Term",0001,417,466,883,2358,37.45%,302,499,41,842
"Justice, Supreme Court, Place 6, Unexpired Term",0002,334,313,647,1961,32.99%,264,327,34,625
"Justice, Supreme Court, Place 6, Unexpired Term",0003,326,405,731,1560,46.86%,265,388,29,682
"Justice, Supreme Court, Place 6, Unexpired Term",0004,359,487,856,1668,51.32%,325,457,33,815
"Justice, Supreme Court, Place 6, Unexpired Term",0005,280,448,728,1417,51.38%,253,403,33,689
"Justice, Supreme Court, Place 6, Unexpired Term",0006,656,456,1112,3702,30.04%,621,424,41,1086
"Justice, Supreme Court, Place 6, Unexpired Term",0007,209,110,319,1017,31.37%,13,294,3,310
"Justice, Supreme Court, Place 6, Unexpired Term",0008,393,310,703,1744,40.31%,357,301,27,685
"Justice, Supreme Court, Place 6, Unexpired Term",0009,206,223,429,1874,22.89%,113,269,19,401
"Justice, Supreme Court, Place 6, Unexpired Term",0010,255,171,426,1753,24.30%,121,273,10,404
"Justice, Supreme Court, Place 6, Unexpired Term",0011,184,176,360,1785,20.17%,69,262,8,339
"Justice, Supreme Court, Place 6, Unexpired Term",0012,86,66,152,735,20.68%,80,64,4,148
"Justice, Supreme Court, Place 6, Unexpired Term",0013,548,361,909,2689,33.80%,658,202,23,883
"Justice, Supreme Court, Place 6, Unexpired Term",0014,442,495,937,1870,50.11%,520,364,15,899
"Justice, Supreme Court, Place 6, Unexpired Term",0015,597,898,1495,2878,51.95%,924,478,18,1420
"Justice, Supreme Court, Place 6, Unexpired Term",0016,243,137,380,1071,35.48%,176,174,18,368
"Justice, Supreme Court, Place 6, Unexpired Term",0017,185,215,400,1162,34.42%,180,188,11,379
"Justice, Supreme Court, Place 6, Unexpired Term",0018,371,351,722,1443,50.03%,357,311,20,688
"Justice, Supreme Court, Place 6, Unexpired Term",0019,172,207,379,1170,32.39%,128,226,12,366
"Justice, Supreme Court, Place 6, Unexpired Term",0020,313,287,600,2646,22.68%,167,381,30,578
"Justice, Supreme Court, Place 6, Unexpired Term",0021,179,184,363,1122,32.35%,76,258,16,350
"Justice, Supreme Court, Place 6, Unexpired Term",0022,397,322,719,2473,29.07%,140,553,11,704
"Justice, Supreme Court, Place 6, Unexpired Term",0023,31,22,53,541,9.80%,9,41,1,51
"Justice, Supreme Court, Place 6, Unexpired Term",0024,107,88,195,655,29.77%,12,173,5,190
"Justice, Supreme Court, Place 6, Unexpired Term",0025,105,143,248,1086,22.84%,11,231,1,243
"Justice, Supreme Court, Place 6, Unexpired Term",0026,241,277,518,1845,28.08%,146,323,14,483
"Justice, Supreme Court, Place 6, Unexpired Term",0027,463,427,890,3074,28.95%,227,602,27,856
"Justice, Supreme Court, Place 6, Unexpired Term",0028,537,405,1042,3029,34.40%,673,309,19,1001
"Justice, Supreme Court, Place 6, Unexpired Term",0029,194,237,431,2638,16.34%,176,226,14,416
"Justice, Supreme Court, Place 6, Unexpired Term",0030,369,391,760,2403,31.63%,200,520,25,745
"Justice, Supreme Court, Place 6, Unexpired Term",0031,455,280,735,2511,29.27%,16,693,7,716
"Justice, Supreme Court, Place 6, Unexpired Term",0032,320,405,725,2398,30.23%,284,364,45,693
"Justice, Supreme Court, Place 6, Unexpired Term",0033,709,615,1324,3706,35.73%,449,770,50,1269
"Justice, Supreme Court, Place 6, Unexpired Term",0034,626,579,1205,2786,43.25%,284,815,55,1154
"Justice, Supreme Court, Place 6, Unexpired Term",0035,4,0,4,11,36.36%,1,3,0,4
"Justice, Supreme Court, Place 6, Unexpired Term",0036,416,318,734,2927,25.08%,202,485,16,703
"Justice, Supreme Court, Place 6, Unexpired Term",0037,542,436,978,2106,46.44%,283,609,35,927
"Justice, Supreme Court, Place 6, Unexpired Term",0038,786,589,1375,2875,47.83%,487,789,46,1322
"Justice, Supreme Court, Place 6, Unexpired Term",0039,659,575,1234,2759,44.73%,327,815,41,1183
"Justice, Supreme Court, Place 6, Unexpired Term",0040,136,152,288,541,53.23%,147,117,7,271
"Justice, Supreme Court, Place 6, Unexpired Term",0041,176,230,406,1334,30.43%,167,223,6,396
"Justice, Supreme Court, Place 6, Unexpired Term",0042,228,109,337,1071,31.47%,6,317,2,325
"Justice, Supreme Court, Place 6, Unexpired Term",0043,293,210,503,1695,29.68%,270,196,15,481
"Justice, Supreme Court, Place 6, Unexpired Term",0044,204,222,426,2001,21.29%,95,297,15,407
"Justice, Supreme Court, Place 6, Unexpired Term",0045,894,750,1644,6698,24.54%,331,1255,16,1602
