Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Boyd,DEM Gina Benavides,LIB Don Fulton,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 7",0001,417,466,883,2358,37.45%,262,544,32,9,847
"Justice, Supreme Court, Place 7",0002,334,313,647,1961,32.99%,241,350,26,8,625
"Justice, Supreme Court, Place 7",0003,326,405,731,1560,46.86%,222,418,29,9,678
"Justice, Supreme Court, Place 7",0004,369,487,856,1668,51.32%,281,499,27,15,822
"Justice, Supreme Court, Place 7",0005,280,448,728,1417,51.38%,218,430,26,12,686
"Justice, Supreme Court, Place 7",0006,656,456,1112,3702,30.04%,609,437,32,9,1087
"Justice, Supreme Court, Place 7",0007,209,110,319,1017,31.37%,13,294,2,1,310
"Justice, Supreme Court, Place 7",0008,393,310,703,1744,40.31%,342,313,17,12,684
"Justice, Supreme Court, Place 7",0009,206,223,429,1874,22.89%,104,281,10,8,403
"Justice, Supreme Court, Place 7",0010,255,171,426,1753,24.30%,106,290,8,2,406
"Justice, Supreme Court, Place 7",0011,184,176,360,1785,20.17%,67,265,5,2,339
"Justice, Supreme Court, Place 7",0012,86,66,152,735,20.68%,81,64,4,0,149
"Justice, Supreme Court, Place 7",0013,548,361,909,2689,33.80%,646,215,16,5,882
"Justice, Supreme Court, Place 7",0014,442,495,937,1870,50.11%,482,399,13,8,902
"Justice, Supreme Court, Place 7",0015,597,898,1495,2878,51.95%,816,581,18,9,1424
"Justice, Supreme Court, Place 7",0016,243,137,380,1071,35.48%,163,182,18,4,367
"Justice, Supreme Court, Place 7",0017,185,215,400,1162,34.42%,166,200,12,4,382
"Justice, Supreme Court, Place 7",0018,371,351,722,1443,50.03%,311,353,21,3,688
"Justice, Supreme Court, Place 7",0019,172,207,379,1170,32.39%,111,243,10,2,366
"Justice, Supreme Court, Place 7",0020,313,287,600,2646,22.68%,151,397,25,4,577
"Justice, Supreme Court, Place 7",0021,179,184,363,1122,32.35%,61,271,12,7,351
"Justice, Supreme Court, Place 7",0022,397,322,719,2473,29.07%,132,558,7,6,703
"Justice, Supreme Court, Place 7",0023,31,22,53,541,9.80%,11,40,0,0,51
"Justice, Supreme Court, Place 7",0024,107,88,195,655,29.77%,13,171,3,1,188
"Justice, Supreme Court, Place 7",0025,105,143,248,1086,22.84%,10,228,2,5,245
"Justice, Supreme Court, Place 7",0026,241,277,518,1845,28.08%,121,345,7,10,483
"Justice, Supreme Court, Place 7",0027,463,427,890,3074,28.95%,201,624,15,20,860
"Justice, Supreme Court, Place 7",0028,637,405,1042,3029,34.40%,662,319,14,5,1000
"Justice, Supreme Court, Place 7",0029,194,237,431,2638,16.34%,162,241,8,7,418
"Justice, Supreme Court, Place 7",0030,369,391,760,2403,31.63%,182,531,22,10,745
"Justice, Supreme Court, Place 7",0031,455,280,735,2511,29.27%,17,687,3,6,713
"Justice, Supreme Court, Place 7",0032,320,405,725,2398,30.23%,263,382,41,7,693
"Justice, Supreme Court, Place 7",0033,709,615,1324,3706,35.73%,394,815,43,22,1274
"Justice, Supreme Court, Place 7",0034,626,579,1205,2786,43.25%,254,852,39,15,1160
"Justice, Supreme Court, Place 7",0035,4,0,4,11,36.36%,1,3,0,0,4
"Justice, Supreme Court, Place 7",0036,416,318,734,2927,25.08%,196,490,9,11,706
"Justice, Supreme Court, Place 7",0037,542,436,978,2106,46.44%,263,628,25,12,928
"Justice, Supreme Court, Place 7",0038,786,589,1375,2875,47.83%,411,851,36,24,1322
"Justice, Supreme Court, Place 7",0039,659,575,1234,2759,44.73%,268,867,31,17,1183
"Justice, Supreme Court, Place 7",0040,136,152,288,541,53.23%,122,141,7,0,270
"Justice, Supreme Court, Place 7",0041,176,230,406,1334,30.43%,159,230,7,1,397
"Justice, Supreme Court, Place 7",0042,228,109,337,1071,31.47%,6,320,2,0,328
"Justice, Supreme Court, Place 7",0043,293,210,503,1695,29.68%,255,214,10,2,481
"Justice, Supreme Court, Place 7",0044,204,222,426,2001,21.29%,82,309,9,7,407
"Justice, Supreme Court, Place 7",0045,894,750,1644,6698,24.54%,313,1264,20,11,1608
"Justice, Supreme Court, Place 7",0046,290,247,537,2511,21.39%,83,408,14,11,516
"Justice, Supreme Court, Place 7",0047,213,218,431,1627,26.49%,13,404,4,4,425
"Justice, Supreme Court, Place 7",0048,158,142,300,940,31.91%,25,270,2,1,298
"Justice, Supreme Court, Place 7",0049,584,482,1066,3343,31.89%,765,257,15,5,1042
"Justice, Supreme Court, Place 7",0050,785,771,1556,5211,29.86%,825,647,40,11,1523
"Justice, Supreme Court, Place 7",0051,353,243,596,1689,35.29%,438,131,9,6,584
"Justice, Supreme Court, Place 7",0052,422,447,869,2457,35.37%,378,421,24,9,832
"Justice, Supreme Court, Place 7",0053,564,726,1290,2971,43.42%,472,703,43,18,1236
"Justice, Supreme Court, Place 7",0054,270,364,634,1487,42.64%,309,281,10,8,608
"Justice, Supreme Court, Place 7",0055,191,251,442,1506,29.35%,183,218,18,5,424
"Justice, Supreme Court, Place 7",0056,282,278,560,1326,42.23%,355,165,14,3,537
"Justice, Supreme Court, Place 7",0057,710,831,1541,3153,48.87%,539,862,37,26,1464
"Justice, Supreme Court, Place 7",0058,470,556,1026,2690,38.14%,400,548,36,10,994
"Justice, Supreme Court, Place 7",0059,555,609,1164,2544,45.75%,417,634,47,15,1113
"Justice, Supreme Court, Place 7",0060,500,564,1064,2453,43.38%,239,713,34,29,1015
"Justice, Supreme Court, Place 7",0061,172,204,376,1773,21.21%,150,194,4,7,355
"Justice, Supreme Court, Place 7",0062,145,322,467,2181,21.41%,105,339,4,4,452
"Justice, Supreme Court, Place 7",0063,264,354,618,1826,33.84%,486,102,13,4,605
"Justice, Supreme Court, Place 7",0064,191,221,412,2141,19.24%,74,318,2,3,397
"Justice, Supreme Court, Place 7",0065,172,230,402,2167,18.55%,83,288,7,7,385
"Justice, Supreme Court, Place 7",0066,69,143,212,1098,19.31%,32,164,3,3,202
"Justice, Supreme Court, Place 7",0067,304,282,586,2794,20.97%,151,392,13,3,559
"Justice, Supreme Court, Place 7",0068,553,352,905,2924,30.95%,20,857,5,5,887
"Justice, Supreme Court, Place 7",0069,80,124,204,1284,15.89%,37,152,3,2,194
"Justice, Supreme Court, Place 7",0070,882,664,1546,3337,46.33%,843,590,39,10,1482
"Justice, Supreme Court, Place 7",0071,602,722,1324,4197,31.55%,586,624,62,12,1284
"Justice, Supreme Court, Place 7",0072,220,293,513,1924,26.66%,148,330,10,5,493
"Justice, Supreme Court, Place 7",0073,252,414,666,1555,42.83%,341,254,18,11,624
"Justice, Supreme Court, Place 7",0074,1153,782,1935,3583,54.01%,1490,360,20,6,1876
"Justice, Supreme Court, Place 7",0075,254,280,534,1444,36.98%,188,299,18,6,511
"Justice, Supreme Court, Place 7",0076,373,374,747,2362,31.63%,427,291,8,4,730
"Justice, Supreme Court, Place 7",0077,43,46,89,566,15.72%,20,67,2,0,89
"Justice, Supreme Court, Place 7",0078,181,201,382,1522,25.10%,125,230,8,5,368
"Justice, Supreme Court, Place 7",0079,205,306,511,2927,17.46%,108,369,7,3,487
"Justice, Supreme Court, Place 7",0080,501,351,852,2725,31.27%,204,598,6,7,815
"Justice, Supreme Court, Place 7",0081,183,187,370,1835,20.16%,138,205,5,6,354
"Justice, Supreme Court, Place 7",0082,639,671,1310,3368,38.90%,949,287,41,7,1284
"Justice, Supreme Court, Place 7",0083,1298,888,2186,6625,33.00%,1043,1044,39,6,2132
"Justice, Supreme Court, Place 7",0084,208,218,426,1373,31.03%,307,92,10,3,412
"Justice, Supreme Court, Place 7",0085,271,248,519,2173,23.88%,18,485,4,4,511
"Justice, Supreme Court, Place 7",0086,448,568,1016,2910,34.91%,416,521,36,4,977
"Justice, Supreme Court, Place 7",0087,574,787,1461,2818,51.85%,855,514,24,7,1400
"Justice, Supreme Court, Place 7",0088,123,118,241,693,34.78%,155,69,3,3,230
"Justice, Supreme Court, Place 7",0089,165,371,536,1094,48.99%,274,218,12,3,507
"Justice, Supreme Court, Place 7",0090,845,790,1635,3700,44.19%,1129,406,43,9,1587
"Justice, Supreme Court, Place 7",0091,221,222,443,1505,29.44%,256,155,17,1,429
"Justice, Supreme Court, Place 7",0092,695,462,1157,2242,51.61%,740,348,26,6,1120
"Justice, Supreme Court, Place 7",0093,381,301,582,3356,20.32%,258,381,13,3,655
"Justice, Supreme Court, Place 7",0094,51,43,94,549,17.12%,26,62,1,3,92
"Justice, Supreme Court, Place 7",0095,917,576,1493,3177,46.99%,1046,361,29,9,1445
"Justice, Supreme Court, Place 7",0096,83,83,166,1296,12.81%,21,142,0,2,165
"Justice, Supreme Court, Place 7",0097,1024,725,1749,4828,36.23%,1283,389,31,6,1709
"Justice, Supreme Court, Place 7",0098,403,488,891,2651,33.61%,720,116,25,7,868
"Justice, Supreme Court, Place 7",0099,254,184,438,2092,20.94%,208,210,8,7,433
"Justice, Supreme Court, Place 7",0100,165,173,338,1730,19.54%,177,144,9,2,332
"Justice, Supreme Court, Place 7",0101,72,58,130,946,13.74%,45,77,3,2,127
"Justice, Supreme Court, Place 7",0102,207,121,328,1872,17.52%,82,230,5,2,319
"Justice, Supreme Court, Place 7",0103,700,714,1414,5371,26.33%,791,565,26,6,1388
"Justice, Supreme Court, Place 7",0104,530,231,761,1905,39.95%,18,725,7,2,752
"Justice, Supreme Court, Place 7",0105,196,210,406,2165,18.75%,124,247,6,3,380
"Justice, Supreme Court, Place 7",0106,18,7,25,294,8.50%,16,9,0,0,25
"Justice, Supreme Court, Place 7",0107,154,197,351,2032,17.27%,57,275,3,4,339
"Justice, Supreme Court, Place 7",0108,558,272,940,3365,27.93%,561,337,13,3,914
"Justice, Supreme Court, Place 7",0109,530,245,775,2824,27.44%,10,747,4,5,766
"Justice, Supreme Court, Place 7",0110,854,494,1148,3042,37.74%,730,366,19,2,1117
"Justice, Supreme Court, Place 7",0111,816,795,1611,4102,39.27%,1159,372,35,4,1570
