Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0001,417,466,883,2358,37.45%,327,139,161,627
"Justice, Supreme Court, Place 8",0002,334,313,647,1961,32.99%,285,95,104,484
"Justice, Supreme Court, Place 8",0003,326,405,731,1560,46.86%,280,104,142,526
"Justice, Supreme Court, Place 8",0004,369,487,856,1668,51.32%,331,106,187,624
"Justice, Supreme Court, Place 8",0005,280,448,728,1417,51.38%,266,114,160,540
"Justice, Supreme Court, Place 8",0006,656,456,1112,3702,30.04%,669,108,91,868
"Justice, Supreme Court, Place 8",0007,209,110,319,1017,31.37%,18,35,20,73
"Justice, Supreme Court, Place 8",0008,393,310,703,1744,40.31%,385,58,101,544
"Justice, Supreme Court, Place 8",0009,206,223,429,1874,22.89%,138,65,70,273
"Justice, Supreme Court, Place 8",0010,255,171,426,1753,24.30%,140,46,42,228
"Justice, Supreme Court, Place 8",0011,184,176,360,1785,20.17%,88,35,40,163
"Justice, Supreme Court, Place 8",0012,86,66,152,735,20.68%,88,13,3,104
"Justice, Supreme Court, Place 8",0013,548,361,909,2689,33.80%,687,44,32,763
"Justice, Supreme Court, Place 8",0014,442,495,937,1870,50.11%,545,88,112,745
"Justice, Supreme Court, Place 8",0015,597,898,1495,2878,51.95%,916,103,138,1157
"Justice, Supreme Court, Place 8",0016,243,137,380,1071,35.48%,192,52,61,305
"Justice, Supreme Court, Place 8",0017,185,215,400,1162,34.42%,193,46,45,284
"Justice, Supreme Court, Place 8",0018,371,351,722,1443,50.03%,362,68,114,544
"Justice, Supreme Court, Place 8",0019,172,207,379,1170,32.39%,141,67,75,283
"Justice, Supreme Court, Place 8",0020,313,287,600,2646,22.68%,185,96,125,406
"Justice, Supreme Court, Place 8",0021,179,184,363,1122,32.35%,78,66,76,220
"Justice, Supreme Court, Place 8",0022,397,322,719,2473,29.07%,159,99,76,334
"Justice, Supreme Court, Place 8",0023,31,22,53,541,9.80%,12,7,11,30
"Justice, Supreme Court, Place 8",0024,107,88,195,655,29.77%,21,43,20,84
"Justice, Supreme Court, Place 8",0025,105,143,248,1086,22.84%,18,12,28,58
"Justice, Supreme Court, Place 8",0026,241,277,518,1845,28.08%,164,71,100,335
"Justice, Supreme Court, Place 8",0027,463,427,890,3074,28.95%,269,108,181,558
"Justice, Supreme Court, Place 8",0028,637,405,1042,3029,34.40%,704,60,44,808
"Justice, Supreme Court, Place 8",0029,194,237,431,2638,16.34%,193,39,29,261
"Justice, Supreme Court, Place 8",0030,369,391,760,2403,31.63%,221,117,121,459
"Justice, Supreme Court, Place 8",0031,455,280,735,2511,29.27%,33,66,56,155
"Justice, Supreme Court, Place 8",0032,320,405,725,2398,30.23%,307,125,124,556
"Justice, Supreme Court, Place 8",0033,709,615,1324,3706,35.73%,470,225,306,1001
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0034,626,579,1205,2786,43.25%,306,219,324,849
"Justice, Supreme Court, Place 8",0035,4,0,4,11,36.36%,1,0,0,1
"Justice, Supreme Court, Place 8",0036,416,318,734,2927,25.08%,234,88,81,403
"Justice, Supreme Court, Place 8",0037,542,436,978,2106,46.44%,318,135,241,694
"Justice, Supreme Court, Place 8",0038,786,589,1375,2875,47.83%,517,197,289,1003
"Justice, Supreme Court, Place 8",0039,659,575,1234,2759,44.73%,346,209,333,888
"Justice, Supreme Court, Place 8",0040,136,152,288,541,53.23%,153,27,30,210
"Justice, Supreme Court, Place 8",0041,176,230,406,1334,30.43%,190,49,43,282
"Justice, Supreme Court, Place 8",0042,228,109,337,1071,31.47%,12,29,20,61
"Justice, Supreme Court, Place 8",0043,293,210,503,1695,29.68%,289,51,52,392
"Justice, Supreme Court, Place 8",0044,204,222,426,2001,21.29%,121,63,57,241
"Justice, Supreme Court, Place 8",0045,894,750,1644,6698,24.54%,401,186,177,764
"Justice, Supreme Court, Place 8",0046,290,247,537,2511,21.39%,138,68,61,267
"Justice, Supreme Court, Place 8",0047,213,218,431,1627,26.49%,34,43,27,104
"Justice, Supreme Court, Place 8",0048,158,142,300,940,31.91%,34,31,28,93
"Justice, Supreme Court, Place 8",0049,584,482,1066,3343,31.89%,797,62,51,910
"Justice, Supreme Court, Place 8",0050,785,771,1556,5211,29.86%,900,153,131,1184
"Justice, Supreme Court, Place 8",0051,353,243,596,1689,35.29%,459,29,27,515
"Justice, Supreme Court, Place 8",0052,422,447,869,2457,35.37%,445,112,141,698
"Justice, Supreme Court, Place 8",0053,564,726,1290,2971,43.42%,563,169,239,971
"Justice, Supreme Court, Place 8",0054,270,364,634,1487,42.64%,345,81,85,511
"Justice, Supreme Court, Place 8",0055,191,251,442,1506,29.35%,209,68,56,333
"Justice, Supreme Court, Place 8",0056,282,278,560,1326,42.23%,382,47,42,471
"Justice, Supreme Court, Place 8",0057,710,831,1541,3153,48.87%,669,176,316,1161
"Justice, Supreme Court, Place 8",0058,470,556,1026,2690,38.14%,453,145,163,761
"Justice, Supreme Court, Place 8",0059,555,609,1164,2544,45.75%,491,139,222,852
"Justice, Supreme Court, Place 8",0060,500,564,1064,2453,43.38%,294,169,305,768
"Justice, Supreme Court, Place 8",0061,172,204,376,1773,21.21,%,175,30,26,231
"Justice, Supreme Court, Place 8",0062,145,322,467,2181,21.41%,154,48,35,237
"Justice, Supreme Court, Place 8",0063,264,354,618,1826,33.84%,503,32,18,553
"Justice, Supreme Court, Place 8",0064,191,221,412,2141,19.24%,117,37,41,195
"Justice, Supreme Court, Place 8",0065,172,230,402,2167,18.55%,124,53,35,212
"Justice, Supreme Court, Place 8",0066,69,143,212,1098,19.31%,45,20,18,83
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0067,304,282,586,2794,20.97%,187,52,67,306
"Justice, Supreme Court, Place 8",0068,553,352,905,2924,30.95%,41,77,84,202
"Justice, Supreme Court, Place 8",0069,80,124,204,1284,15.89%,54,29,12,95
"Justice, Supreme Court, Place 8",0070,882,664,1546,3337,46.33%,984,156,133,1273
"Justice, Supreme Court, Place 8",0071,602,722,1324,4197,31.55%,669,212,173,1054
"Justice, Supreme Court, Place 8",0072,220,293,513,1924,26.66%,187,54,61,302
"Justice, Supreme Court, Place 8",0073,252,414,666,1555,42.83%,402,52,82,536
"Justice, Supreme Court, Place 8",0074,1153,782,1935,3583,54.01%,1548,83,80,1711
"Justice, Supreme Court, Place 8",0075,254,280,534,1444,36.98%,226,65,106,397
"Justice, Supreme Court, Place 8",0076,373,374,747,2362,31.63%,488,53,44,585
"Justice, Supreme Court, Place 8",0077,43,46,89,566,15.72%,26,15,8,49
