Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Georgan Reitmeier,Totals
"Klein ISD, Position 1",0082,539,671,1310,3368,38.90%,664,664
"Klein ISD, Position 1",0109,194,71,265,924,28.68%,89,89
"Klein ISD, Position 1",0112,542,485,1027,2976,34.51%,543,543
"Klein ISD, Position 1",0113,552,429,991,2647,37.44%,534,534
"Klein ISD, Position 1",0114,422,323,745,2101,35.46%,430,430
"Klein ISD, Position 1",0245,943,794,1737,5810,29.90%,872,872
"Klein ISD, Position 1",0246,684,513,1197,3315,36.11%,657,657
"Klein ISD, Position 1",0263,858,712,1570,3693,42.51%,821,821
"Klein ISD, Position 1",0452,521,416,937,2863,32.73%,512,512
"Klein ISD, Position 1",0464,355,430,786,2257,34.82%,439,439
"Klein ISD, Position 1",0467,213,189,402,1270,31.65%,154,154
"Klein ISD, Position 1",0468,344,427,771,3471,22.21%,322,322
"Klein ISD, Position 1",0477,737,567,1304,3505,37.20%,742,742
"Klein ISD, Position 1",0482,875,580,1455,4365,33.33%,796,796
"Klein ISD, Position 1",0484,38,20,58,132,43.94%,25,25
"Klein ISD, Position 1",0496,0,0,0,0,0.00%,0,0
"Klein ISD, Position 1",0500,539,666,1305,2961,44.07%,704,704
"Klein ISD, Position 1",0511,0,0,0,0,0.00%,0,0
"Klein ISD, Position 1",0513,409,165,574,1201,47.79%,285,285
"Klein ISD, Position 1",0514,953,720,1673,4275,39.13%,864,864
"Klein ISD, Position 1",0515,942,683,1625,3455,47.03%,923,923
"Klein ISD, Position 1",0516,905,723,1628,4448,36.60%,772,772
"Klein ISD, Position 1",0551,1288,1394,2682,7034,38.13%,1422,1422
"Klein ISD, Position 1",0552,847,883,1730,3415,50.66%,1084,1084
"Klein ISD, Position 1",0575,13,11,24,74,32.43%,13,13
"Klein ISD, Position 1",0592,133,157,290,1350,21.48%,127,127
"Klein ISD, Position 1",0597,91,69,160,807,19.83%,70,70
"Klein ISD, Position 1",0601,1073,756,1829,4057,45.08%,979,979
"Klein ISD, Position 1",0614,234,121,355,896,39.62%,187,187
"Klein ISD, Position 1",0623,887,487,1374,3691,37.23%,652,652
"Klein ISD, Position 1",0624,1,1,2,3,66.67%,0,0
"Klein ISD, Position 1",0628,0,0,0,0,0.00%,0,0
"Klein ISD, Position 1",0631,822,404,1226,2846,43.08%,698,698
"Klein ISD, Position 1",0633,943,731,1674,3559,47.04%,922,922
"Klein ISD, Position 1",0648,838,579,1417,3367,42.08%,755,755
"Klein ISD, Position 1",0668,399,509,908,2775,32.72%,435,435
"Klein ISD, Position 1",0672,959,862,1821,5706,31.91%,1017,1017
"Klein ISD, Position 1",0690,926,1104,2030,5102,39.79%,1094,1094
"Klein ISD, Position 1",0723,325,170,495,1599,30.96%,222,222
"Klein ISD, Position 1",07356,0,6,18,33.33%,2,2
"Klein ISD, Position 1",0783,49,13,62,294,21.09%,32,32
"Klein ISD, Position 1",0841,0,0,0,0,0.00%,0,0
"Klein ISD, Position 1",0851,948,586,1534,4274,35.89%,763,763
"Klein ISD, Position 1",0853,676,620,1296,2882,44.97%,748,748
"Klein ISD, Position 1",0855,5,9,14,16,87.50%,4,4
"Klein ISD, Position 1",0859,157,106,263,890,29.55%,122,122
"Klein ISD, Position 1",0861,308,198,506,1744,29.01%,225,225
"Klein ISD, Position 1",0868,235,271,507,2326,21.80%,246,246
"Klein ISD, Position 1",0870,0,0,0,0,0.00%,0,0
"Klein ISD, Position 1",0873,98,75,173,737,23.47%,74,74
"Klein ISD, Position 1",0874,763,707,1470,3223,45.61%,852,852
"Klein ISD, Position 1",0876,698,641,1339,3265,41.01%,729,729
"Klein ISD, Position 1",0880,543,447,990,2352,42.09%,507,507
"Klein ISD, Position 1",0884,57,25,82,377,21.75%,24,24
"Klein ISD, Position 1",0916,417,240,657,1491,44.06%,349,349
"Klein ISD, Position 1",0977,50,43,93,572,16.26%,37,37
"Klein ISD, Position 1",0998,5,1,6,57,10.53%,3,3
"Klein ISD, Position 1",0999,17,10,27,68,39.71%,18,18
"Klein ISD, Position 1",1025,0,1,1,14,7.14%,0,0
"Klein ISD, Position 1",1026,0,0,0,0,0.00%,0,0
"Klein ISD, Position 1",1030,231,151,382,785,48.66%,236,236
"Klein ISD, Position 1",Totals;,26819,21966,48785,130703,,25796,25796
