Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Lieutenant Governor,0001,417,466,883,2358,37.45%,256,583,27,11,877
Lieutenant Governor,0002,334,313,647,1961,32.99%,241,361,30,6,638
Lieutenant Governor,0003,326,405,731,1560,46.86%,217,480,18,7,722
Lieutenant Governor,0004,369,487,856,1668,51.32%,257,542,32,9,840
Lieutenant Governor,0005,280,448,728,1417,51.38%,212,481,25,3,721
Lieutenant Governor,0006,656,456,1112,3702,30.04%,621,439,33,11,1104
Lieutenant Governor,0007,209,110,319,1017,31.37%,16,294,4,0,314
Lieutenant Governor,0008,393,310,703,1744,40.31%,319,339,26,10,694
Lieutenant Governor,0009,206,223,429,1874,22.89%,109,278,21,10,418
Lieutenant Governor,0010,255,171,426,1753,24.30%,120,279,5,6,410
Lieutenant Governor,0011,184,176,360,1785,20.17%,70,260,4,5,339
Lieutenant Governor,0012,86,66,152,735,20.68%,85,64,1,0,150
Lieutenant Governor,0013,548,361,909,2689,33.80%,649,232,17,3,901
Lieutenant Governor,0014,442,495,937,1870,50.11%,442,456,17,11,926
Lieutenant Governor,0015,597,898,1495,2878,51.95%,701,720,39,12,1472
Lieutenant Governor,0016,243,137,380,1071,35.48%,153,200,18,2,373
Lieutenant Governor,0017,185,215,400,1162,34.42%,170,208,9,2,389
Lieutenant Governor,0018,371,351,722,1443,50.03%,281,391,25,11,708
Lieutenant Governor,0019,172,207,379,1170,32.39%,111,253,7,4,375
Lieutenant Governor,0020,313,287,600,2646,22.68%,145,420,24,5,594
Lieutenant Governor,0021,179,184,363,1122,32.35%,62,283,10,3,358
Lieutenant Governor,0022,397,322,719,2473,29.07%,130,568,10,6,714
Lieutenant Governor,0023,31,22,53,541,9.80%,10,39,2,0,51
Lieutenant Governor,0024,107,88,195,655,29.77%,14,171,4,2,191
Lieutenant Governor,0025,105,143,248,1086,22.84%,12,227,2,4,245
Lieutenant Governor,0026,241,277,518,1845,28.08%,124,353,13,9,499
Lieutenant Governor,0027,453,427,890,3074,28.95%,211,640,11,17,879
Lieutenant Governor,0028,637,405,1042,3029,34.40%,652,349,16,6,1023
Lieutenant Governor,0029,194,237,431,2638,16.34%,177,226,12,6,421
Lieutenant Governor,0030,369,391,760,2403,31.63%,171,537,24,15,747
Lieutenant Governor,0031,455,280,735,2511,29.27%,22,691,6,0,719
Lieutenant Governor,0032,320,405,725,2398,30.23%,261,409,36,13,719
Lieutenant Governor,0033,709,615,1324,3706,35.73%,357,886,47,18,1308
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Lieutenant Governor,0034,626,579,1205,2786,43.25%,240,903,35,17,1195
Lieutenant Governor,0035,4,0,4,11,36.36%,1,3,0,0,4
Lieutenant Governor,0036,416,318,734,2927,25.08%,199,494,10,12,715
Lieutenant Governor,0037,542,436,978,2106,46.44%,246,684,24,6,960
Lieutenant Governor,0038,786,589,1375,2875,47.83%,379,925,39,14,1357
Lieutenant Governor,0039,659,575,1234,2759,44.73%,244,920,39,20,1223
Lieutenant Governor,0040,136,152,288,541,53.23%,98,160,15,0,273
Lieutenant Governor,0041,176,230,406,1334,30.43%,164,227,9,4,404
Lieutenant Governor,0042,228,109,337,1071,31.47%,6,319,4,0,329
Lieutenant Governor,0043,293,210,503,1695,29.68%,253,222,6,11,492
Lieutenant Governor,0044,204,222,426,2001,21.29%,91,307,12,5,415
Lieutenant Governor,0045,894,750,1644,6698,24.54%,330,1254,20,16,1620
Lieutenant Governor,0046,290,247,537,2511,21.39%,94,410,11,5,520
Lieutenant Governor,0047,213,218,431,1627,26.49%,16,403,4,2,425
Lieutenant Governor,0048,158,142,300,940,31.91%,22,271,2,2,297
Lieutenant Governor,0049,584,482,1066,3343,31.89%,765,263,25,4,1057
Lieutenant Governor,0050,785,771,1556,5211,29.86%,828,662,34,17,1541
Lieutenant Governor,0051,353,243,596,1689,35.29%,433,137,17,2,589
Lieutenant Governor,0052,422,447,869,2457,35.37%,351,463,34,7,855
Lieutenant Governor,0053,564,726,1290,2971,43.42%,446,781,42,9,1278
Lieutenant Governor,0054,270,364,634,1487,42.64%,278,319,23,9,629
Lieutenant Governor,0055,191,251,442,1506,29.35%,180,222,26,7,435
Lieutenant Governor,0056,282,278,560,1326,42.23%,352,179,18,3,552
Lieutenant Governor,0057,710,831,1541,3153,48.87%,480,972,54,16,1522
Lieutenant Governor,0058,470,556,1026,2690,38.14%,362,602,41,6,1011
Lieutenant Governor,0059,555,609,1164,2544,45.75%,394,694,52,14,1154
Lieutenant Governor,0060,500,564,1064,2453,43.38%,221,795,23,15,1054
Lieutenant Governor,0061,172,204,376,1773,21.21,%,154,193,6,5,358
Lieutenant Governor,0062,145,322,467,2181,21.41%,112,325,8,7,452
Lieutenant Governor,0063,264,354,618,1826,33.84%,488,102,19,3,612
Lieutenant Governor,0064,191,221,412,2141,19.24%,92,299,5,0,396
Lieutenant Governor,0065,172,230,402,2167,18.55%,94,284,5,7,390
Lieutenant Governor,0066,69,143,212,1098,19.31%,37,163,4,2,206
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Lieutenant Governor,0067,304,282,586,2794,20.97%,162,385,15,3,565
Lieutenant Governor,0068,553,352,905,2924,30.95%,23,853,7,6,889
Lieutenant Governor,0069,80,124,204,1284,15.89%,41,148,0,2,191
Lieutenant Governor,0070,882,664,1546,3337,46.33%,767,686,59,15,1527
Lieutenant Governor,0071,602,722,1324,4197,31.55%,577,668,54,9,1308
Lieutenant Governor,0072,220,293,513,1924,26.66%,161,325,7,7,500
Lieutenant Governor,0073,252,414,666,1555,42.83%,330,301,17,11,659
Lieutenant Governor,0074,1153,782,1935,3583,54.01%,1448,415,42,7,1912
Lieutenant Governor,0075,254,280,534,1444,36.98%,180,319,25,7,531
Lieutenant Governor,0076,373,374,747,2362,31.63%,431,282,12,7,732
Lieutenant Governor,0077,43,46,89,566,15.72%,18,68,3,0,89
Lieutenant Governor,0078,181,201,382,1522,25.10%,137,233,5,3,378
Lieutenant Governor,0079,205,306,511,2927,17.46%,130,354,8,3,495
Lieutenant Governor,0080,501,351,852,2725,31.27%,222,595,6,8,831
Lieutenant Governor,0081,183,187,370,1835,20.16%,150,196,6,4,356
Lieutenant Governor,0082,639,671,1310,3368,38.90%,941,316,35,7,1299
Lieutenant Governor,0083,1298,888,2186,6625,33.00%,1028,1077,45,8,2158
Lieutenant Governor,0084,208,218,426,1373,31.03%,311,98,10,1,420
Lieutenant Governor,0085,271,248,519,2173,23.88%,17,485,6,5,513
Lieutenant Governor,0086,448,568,1016,2910,34.91%,412,546,42,5,1005
Lieutenant Governor,0087,574,787,1461,2818,51.85%,730,654,54,4,1442
Lieutenant Governor,0088,123,118,241,693,34.78%,150,77,7,2,236
Lieutenant Governor,0089,165,371,536,1094,48.99%,230,273,14,6,523
Lieutenant Governor,0090,845,790,1635,3700,44.19%,1133,429,39,11,1612
Lieutenant Governor,0091,221,222,443,1505,29.44%,247,169,17,1,434
Lieutenant Governor,0092,695,462,1157,2242,51.61%,719,376,38,3,1136
Lieutenant Governor,0093,381,301,582,3356,20.32%,277,363,14,4,658
Lieutenant Governor,0094,51,43,94,549,17.12%,30,61,1,2,94
Lieutenant Governor,0095,917,576,1493,3177,46.99%,998,430,35,11,1474
Lieutenant Governor,0096,83,83,166,1296,12.81%,21,141,2,2,166
Lieutenant Governor,0097,1024,725,1749,4828,36.23%,1276,417,35,3,1731
Lieutenant Governor,0098,403,488,891,2651,33.61%,719,128,24,5,876
Lieutenant Governor,0099,254,184,438,2092,20.94%,205,214,9,4,432
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Lieutenant Governor,0100,185,173,338,1730,19.54%,170,150,8,3,331
Lieutenant Governor,0101,72,58,130,948,13.74%,45,78,8,1,130
Lieutenant Governor,0102,207,121,328,1872,17.52%,90,228,3,1,320
Lieutenant Governor,0103,700,714,1414,5371,28.33%,800,582,25,14,1401
Lieutenant Governor,0104,530,231,781,1905,39.95%,28,712,4,5,749
Lieutenant Governor,0105,198,210,408,2185,18.75%,133,240,10,3,388
Lieutenant Governor,0108,18,7,25,294,8.50%,18,9,0,0,25
Lieutenant Governor,0107,154,197,351,2032,17.27%,82,278,2,3,345
Lieutenant Governor,0108,558,272,940,3385,27.93%,554,345,20,4,923
Lieutenant Governor,0109,530,245,775,2824,27.44%,11,745,8,3,785
Lieutenant Governor,0110,854,494,1148,3042,37.74%,733,378,29,0,1138
Lieutenant Governor,0111,818,795,1811,4102,39.27%,1149,401,41,1,1592
Lieutenant Governor,0112,542,485,1027,2978,34.51%,728,253,34,1,1018
Lieutenant Governor,0113,552,429,991,2847,37.44%,588,372,24,8,970
Lieutenant Governor,0114,707,547,1254,3311,37.87%,997,221,22,3,1243
Lieutenant Governor,0115,238,150,388,1800,21.58%,58,313,1,3,375
Lieutenant Governor,0118,982,778,1758,3147,55.88%,1232,434,58,3,1725
Lieutenant Governor,0117,218,228,442,1880,23.51%,211,207,10,8,438
Lieutenant Governor,0118,304,123,427,759,58.28%,328,84,11,3,424
Lieutenant Governor,0119,1290,1024,2314,5500,42.07%,1833,390,49,7,2279
Lieutenant Governor,0120,713,422,1135,3191,35.57%,722,371,22,2,1117
Lieutenant Governor,0121,92,178,270,848,31.84%,193,84,8,2,285
Lieutenant Governor,0122,352,225,577,1890,30.53%,22,528,10,5,585
Lieutenant Governor,0123,285,288,573,1392,41.18%,128,424,12,7,571
Lieutenant Governor,0124,1734,1292,3028,7254,41.71%,2353,808,48,8,3015
Lieutenant Governor,0125,415,332,747,2405,31.08%,441,287,23,7,738
Lieutenant Governor,0128,893,487,1380,3100,43.87%,1185,137,24,5,1351
Lieutenant Governor,0127,435,154,589,1838,32.08%,415,147,17,0,579
Lieutenant Governor,0128,445,707,1152,2290,50.31%,801,498,28,10,1137
Lieutenant Governor,0129,1031,1200,2231,5748,38.83%,1259,849,78,17,2201
Lieutenant Governor,0130,727,523,1250,2333,53.58%,842,351,32,2,1227
Lieutenant Governor,0131,251,259,510,1935,28.38%,123,385,4,5,497
Lieutenant Governor,0132,593,323,918,2387,38.37%,30,881,7,8,904
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Lieutenant Governor,0133,514,858,1372,2662,51.54%,660,626,51,8,1345
Lieutenant Governor,0134,192,265,457,1437,31.80%,209,233,7,4,453
Lieutenant Governor,0135,730,579,1309,2671,49.01%,762,490,29,5,1286
Lieutenant Governor,0136,503,371,874,2013,43.42%,35,818,6,6,865
Lieutenant Governor,0137,166,141,307,716,42.88%,125,159,18,2,304
Lieutenant Governor,0138,296,199,495,1699,29.13%,17,464,4,2,487
Lieutenant Governor,0139,700,551,1251,3037,41.19%,460,725,31,11,1227
Lieutenant Governor,0140,701,480,1181,3214,36.75%,126,1010,20,9,1165
Lieutenant Governor,0141,80,80,160,855,18.71%,95,57,1,1,154
Lieutenant Governor,0142,87,103,190,902,21.06%,63,116,2,2,183
Lieutenant Governor,0143,1962,580,2542,6386,39.81%,1785,693,42,3,2523
Lieutenant Governor,0144,216,158,374,1093,34.22%,8,354,6,0,368
Lieutenant Governor,0145,264,213,477,1538,31.01%,11,449,4,2,466
Lieutenant Governor,0146,426,519,945,2008,47.06%,359,529,23,17,928
Lieutenant Governor,0147,589,329,1018,3008,33.84%,121,860,16,7,1004
Lieutenant Governor,0148,500,780,1280,2540,50.39%,395,822,34,12,1263
Lieutenant Governor,0149,1621,737,2358,7993,29.50%,1213,1067,47,12,2339
Lieutenant Governor,0150,236,169,405,1256,32.25%,18,378,4,1,401
Lieutenant Governor,0151,137,79,216,826,26.15%,11,197,1,1,210
Lieutenant Governor,0152,214,299,513,2788,18.40%,130,355,11,5,501
Lieutenant Governor,0153,125,206,331,1808,18.31%,101,206,10,3,320
Lieutenant Governor,0154,249,183,432,2190,19.73%,106,299,12,6,423
Lieutenant Governor,0155,1022,619,1641,4109,39.94%,1107,481,25,7,1620
Lieutenant Governor,0156,800,326,1126,3071,36.67%,47,1044,8,7,1106
Lieutenant Governor,0157,448,214,662,2236,29.61%,31,609,7,4,651
Lieutenant Governor,0158,600,315,915,3035,30.15%,29,856,6,5,896
Lieutenant Governor,0159,115,127,243,998,24.35%,35,198,4,2,239
Lieutenant Governor,0160,122,73,195,696,28.02%,6,187,2,0,195
Lieutenant Governor,0161,163,141,304,991,30.68%,4,291,0,1,296
Lieutenant Governor,0162,101,83,184,1265,14.55%,71,103,3,1,178
Lieutenant Governor,0163,230,320,550,3037,18.11%,231,297,8,1,537
Lieutenant Governor,0164,182,205,387,1420,27.25%,14,369,1,0,384
Lieutenant Governor,0165,535,483,1018,2334,43.62%,642,327,24,4,997
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Lieutenant Governor,0166,158,233,391,1028,38.04%,98,271,12,4,385
Lieutenant Governor,0167,3,0,3,24,12.50%,1,2,0,0,3
Lieutenant Governor,0168,92,58,150,503,29.82%,2,142,2,0,146
Lieutenant Governor,0169,516,251,767,2513,30.52%,15,729,5,2,751
Lieutenant Governor,0170,271,141,412,1869,22.04%,216,174,11,1,402
Lieutenant Governor,0171,202,198,400,1604,24.94%,9,381,3,2,395
Lieutenant Governor,0172,86,80,166,621,26.73%,62,97,0,4,163
Lieutenant Governor,0173,819,739,1558,3599,43.29%,1222,284,32,3,1541
Lieutenant Governor,0174,830,733,1563,3296,47.42%,1002,477,40,10,1529
Lieutenant Governor,0175,560,749,1309,2618,50.00%,573,686,29,8,1296
Lieutenant Governor,0176,344,451,795,1602,49.63%,349,412,18,9,788
Lieutenant Governor,0177,278,326,604,1496,40.37%,294,268,22,4,588
Lieutenant Governor,0178,504,365,869,1765,49.24%,498,320,35,2,855
Lieutenant Governor,0179,256,188,444,1575,28.19%,230,186,10,10,436
Lieutenant Governor,0180,470,343,813,2834,28.69%,28,747,10,7,792
Lieutenant Governor,0181,175,262,437,2061,21.20%,132,273,14,8,427
Lieutenant Governor,0182,590,974,1564,3405,45.93%,819,652,44,10,1525
Lieutenant Governor,0183,520,794,1314,2491,52.75%,725,510,35,7,1277
Lieutenant Governor,0184,106,135,241,994,24.25%,85,134,7,0,226
Lieutenant Governor,0185,283,292,575,1933,29.75%,198,353,6,3,560
Lieutenant Governor,0186,97,106,203,798,25.44%,32,165,2,2,201
Lieutenant Governor,0187,21,25,46,311,14.79%,13,31,2,0,46
Lieutenant Governor,0188,153,146,299,1637,18.27%,140,139,8,5,292
Lieutenant Governor,0189,239,360,599,1465,40.89%,287,270,30,5,592
Lieutenant Governor,0190,120,177,297,1723,17.24%,122,157,7,2,288
Lieutenant Governor,0191,79,126,205,1366,15.01%,94,105,1,0,200
Lieutenant Governor,0192,381,225,606,1959,30.93%,28,561,2,2,593
Lieutenant Governor,0193,173,187,360,1074,33.52%,11,336,2,3,352
Lieutenant Governor,0194,351,431,782,1912,40.90%,203,521,29,17,770
Lieutenant Governor,0195,269,278,547,1694,32.29%,24,506,7,3,540
Lieutenant Governor,0196,52,32,84,316,26.58%,8,73,3,0,84
Lieutenant Governor,0197,543,309,852,2914,29.24%,26,809,8,4,847
Lieutenant Governor,0198,53,74,127,642,19.78%,5,118,0,2,125
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Lieutenant Governor,0199,812,661,1473,3216,45.80%,1098,298,48,9,1453
