Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Lone Star College System, Proposition 1",0006,656,456,1112,3702,30.04%,602,281,883
"Lone Star College System, Proposition 1",0035,4,0,4,11,36.36%,2,1,3
"Lone Star College System, Proposition 1",0041,176,230,406,1334,30.43%,217,91,308
"Lone Star College System, Proposition 1",0045,1,4,5,3,166.67%,3,1,4
"Lone Star College System, Proposition 1",0050,785,771,1556,5211,29.86%,850,426,1276
"Lone Star College System, Proposition 1",0061,172,204,376,1773,21.21%,207,80,287
"Lone Star College System, Proposition 1",0074,1153,782,1935,3583,54.01%,920,595,1515
"Lone Star College System, Proposition 1",0082,639,671,1310,3368,38.90%,686,317,1003
"Lone Star College System, Proposition 1",0083,1295,888,2184,6625,32.97%,1158,636,1794
"Lone Star College System, Proposition 1",0101,72,58,130,946,13.74%,71,33,104
"Lone Star College System, Proposition 1",0106,18,7,25,294,8.50%,11,7,18
"Lone Star College System, Proposition 1",0107,4,0,4,15,26.67%,4,0,4
"Lone Star College System, Proposition 1",0108,668,272,940,3365,27.93%,502,218,720
"Lone Star College System, Proposition 1",0109,529,245,774,2824,27.41%,459,78,537
"Lone Star College System, Proposition 1",0110,654,494,1148,3042,37.74%,604,288,892
"Lone Star College System, Proposition 1",0111,816,795,1611,4102,39.27%,837,481,1318
"Lone Star College System, Proposition 1",0112,542,485,1027,2976,34.51%,522,240,762
"Lone Star College System, Proposition 1",0113,562,429,991,2647,37.44%,558,206,764
"Lone Star College System, Proposition 1",0114,707,547,1254,3311,37.87%,585,378,963
"Lone Star College System, Proposition 1",0117,58,49,107,502,21.31%,48,39,87
"Lone Star College System, Proposition 1",0124,1729,1281,3010,7201,41.80%,1503,901,2404
"Lone Star College System, Proposition 1",0125,415,332,747,2405,31.06%,391,199,590
"Lone Star College System, Proposition 1",0126,718,384,1102,2363,46.64%,466,378,844
