Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Alton Smith,Totals
"Lone Star College System, Trustee, Position 3",0074,1153,782,1935,3583,54.01%,1020,1020
"Lone Star College System, Trustee, Position 3",0109,529,245,774,2824,27.41%,280,280
"Lone Star College System, Trustee, Position 3",0117,58,49,107,502,21.31%,46,46
"Lone Star College System, Trustee, Position 3",0147,589,329,1018,3008,33.84%,435,435
"Lone Star College System, Trustee, Position 3",0155,1022,619,1641,4109,39.94%,836,836
"Lone Star College System, Trustee, Position 3",0157,448,214,662,2236,29.61%,233,233
"Lone Star College System, Trustee, Position 3",0169,308,134,442,1374,32.17%,160,160
"Lone Star College System, Trustee, Position 3",0197,49,18,67,400,16.75%,25,25
"Lone Star College System, Trustee, Position 3",0225,376,405,781,3305,23.63%,398,398
"Lone Star College System, Trustee, Position 3",0260,152,145,307,1260,24.37%,156,156
"Lone Star College System, Trustee, Position 3",0270,0,0,0,0,0.00%,0,0
"Lone Star College System, Trustee, Position 3",0322,149,87,236,839,28.13%,113,113
"Lone Star College System, Trustee, Position 3",0383,289,262,551,2173,25.36%,225,225
"Lone Star College System, Trustee, Position 3",0398,615,519,1134,4022,28.19%,621,621
"Lone Star College System, Trustee, Position 3",0450,252,193,445,1903,23.38%,161,161
"Lone Star College System, Trustee, Position 3",0467,198,173,371,1125,32.98%,155,155
"Lone Star College System, Trustee, Position 3",0498,360,322,682,2290,29.78%,314,314
"Lone Star College System, Trustee, Position 3",0512,602,660,1262,5057,24.96%,641,641
"Lone Star College System, Trustee, Position 3",0517,326,186,512,2036,25.15%,271,271
"Lone Star College System, Trustee, Position 3",0518,635,693,1328,3943,33.68%,713,713
"Lone Star College System, Trustee, Position 3",0553,578,529,1107,4686,23.62%,584,584
"Lone Star College System, Trustee, Position 3",0576,162,75,237,874,27.12%,76,76
"Lone Star College System, Trustee, Position 3",0594,561,326,887,2490,35.62%,356,356
"Lone Star College System, Trustee, Position 3",0621,0,0,0,0,0.00%,0,0
"Lone Star College System, Trustee, Position 3",0622,881,522,1403,4403,31.86%,712,712
"Lone Star College System, Trustee, Position 3",0642,471,394,865,1764,49.04%,441,441
"Lone Star College System, Trustee, Position 3",0643,934,653,1587,5945,26.69%,792,792
"Lone Star College System, Trustee, Position 3",0650,770,718,1488,3293,45.19%,762,762
"Lone Star College System, Trustee, Position 3",0671,403,565,968,3037,31.87%,529,529
"Lone Star College System, Trustee, Position 3",0687,549,537,1086,2609,41.63%,575,575
"Lone Star College System, Trustee, Position 3",0689,211,387,598,2346,25.49%,271,271
"Lone Star College System, Trustee, Position 3",0701,58,43,99,588,16.84%,43,43
"Lone Star College System, Trustee, Position 3",0723,401,202,603,1858,32.45%,231,231
"Lone Star College System, Trustee, Position 3",0759,465,413,878,2730,32.16%,467,467
"Lone Star College System, Trustee, Position 3",0771,175,142,317,1542,20.56%,172,172
"Lone Star College System, Trustee, Position 3",0848,489,266,755,1856,40.68%,331,331
"Lone Star College System, Trustee, Position 3",0855,5,9,14,16,87.50%,2,2
"Lone Star College System, Trustee, Position 3",0859,46,22,68,259,26.25%,21,21
"Lone Star College System, Trustee, Position 3",0861,315,199,514,1842,27.90%,207,207
"Lone Star College System, Trustee, Position 3",0882,426,291,717,2422,29.60%,395,395
"Lone Star College System, Trustee, Position 3",0904,1,0,1,7,14.29%,1,1
"Lone Star College System, Trustee, Position 3",0934,2,0,2,63,3.17%,1,1
"Lone Star College System, Trustee, Position 3",0939,0,0,0,2,0.00%,0,0
"Lone Star College System, Trustee, Position 3",0940,0,0,0,10,0.00%,0,0
"Lone Star College System, Trustee, Position 3",0966,129,83,212,1148,18.47%,97,97
"Lone Star College System, Trustee, Position 3",0987,231,90,321,1155,27.79%,98,98
"Lone Star College System, Trustee, Position 3",0991,0,0,0,1,0.00%,0,0
"Lone Star College System, Trustee, Position 3",1023,430,315,745,2026,36.77%,414,414
"Lone Star College System, Trustee, Position 3",1028,0,0,0,0,0.00%,0,0
"Lone Star College System, Trustee, Position 3",1033,0,0,0,0,0.00%,0,0
"Lone Star College System, Trustee, Position 3",Totals;,16911,12816,29727,94961,,14381,14381
