Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Ken E. Lloyd,Lamar Casparis,Dom Bongiomi,Totals
"Lone Star College System, Trustee, Position 9",0082,639,671,1310,3368,38.90%,510,104,86,700
"Lone Star College System, Trustee, Position 9",0111,816,795,1611,4101,39.28%,574,108,128,810
"Lone Star College System, Trustee, Position 9",0112,542,485,1027,2976,34.51%,396,78,83,557
"Lone Star College System, Trustee, Position 9",0124,1729,1281,3010,7201,41.80%,1063,183,261,1507
"Lone Star College System, Trustee, Position 9",0126,718,384,1102,2363,46.64%,395,62,68,525
"Lone Star College System, Trustee, Position 9",0173,817,739,1556,3599,43.23%,593,106,118,817
"Lone Star College System, Trustee, Position 9",0245,946,799,1745,5828,29.94%,662,162,95,919
"Lone Star College System, Trustee, Position 9",0246,181,193,374,1227,30.48%,145,22,31,198
"Lone Star College System, Trustee, Position 9",0263,858,712,1570,3693,42.51%,602,122,124,848
"Lone Star College System, Trustee, Position 9",0300,1389,1016,2405,5406,44.49%,827,122,173,1122
"Lone Star College System, Trustee, Position 9",0370,1532,1105,2637,6593,40.00%,917,189,241,1347
"Lone Star College System, Trustee, Position 9",0442,612,574,1186,2575,46.06%,458,65,71,594
"Lone Star College System, Trustee, Position 9",0464,356,430,786,2257,34.82%,318,62,59,439
"Lone Star College System, Trustee, Position 9",0477,737,567,1304,3505,37.20%,524,101,100,725
"Lone Star College System, Trustee, Position 9",0482,878,630,1508,4373,34.48%,545,154,157,856
"Lone Star College System, Trustee, Position 9",0485,1089,907,1996,5212,38.30%,822,143,119,1084
"Lone Star College System, Trustee, Position 9",0486,873,855,1728,3866,44.70%,624,120,114,858
"Lone Star College System, Trustee, Position 9",0500,98,59,157,506,31.03%,56,15,13,84
"Lone Star College System, Trustee, Position 9",0514,953,720,1673,4275,39.13%,611,111,131,853
"Lone Star College System, Trustee, Position 9",0551,1288,1394,2682,7034,38.13%,989,213,177,1379
"Lone Star College System, Trustee, Position 9",0601,1073,756,1829,4057,45.08%,697,111,156,964
"Lone Star College System, Trustee, Position 9",0624,1,1,2,3,66.67%,0,1,0,1
"Lone Star College System, Trustee, Position 9",0631,822,404,1226,2846,43.08%,439,106,86,631
"Lone Star College System, Trustee, Position 9",0648,838,579,1417,3367,42.08%,556,98,104,758
"Lone Star College System, Trustee, Position 9",0668,399,509,908,2775,32.72%,339,79,66,484
"Lone Star College System, Trustee, Position 9",0688,999,617,1616,3504,46.12%,581,112,107,800
"Lone Star College System, Trustee, Position 9",0726,592,402,994,2087,47.63%,360,79,57,496
"Lone Star College System, Trustee, Position 9",0734,1558,962,2520,7005,35.97%,887,242,168,1297
"Lone Star College System, Trustee, Position 9",0768,1359,1015,2374,5857,40.53%,889,182,165,1236
"Lone Star College System, Trustee, Position 9",0783,49,13,62,294,21.09%,24,4,4,32
"Lone Star College System, Trustee, Position 9",0828,541,388,929,1916,48.49%,318,84,77,479
"Lone Star College System, Trustee, Position 9",0851,1029,657,1686,4709,35.80%,568,161,158,887
"Lone Star College System, Trustee, Position 9",0853,675,620,1296,2882,44.97%,493,84,98,675
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Ken E. Lloyd,Lamar Casparis,Dom Bongiomi,Totals
"Lone Star College System, Trustee, Position 9",0874,173,22,195,726,26.86%,77,17,21,115
"Lone Star College System, Trustee, Position 9",0876,698,641,1339,3265,41.01%,522,111,118,751
"Lone Star College System, Trustee, Position 9",0878,427,354,781,1666,46.88%,327,59,38,424
"Lone Star College System, Trustee, Position 9",0880,543,447,990,2352,42.09%,375,64,51,490
"Lone Star College System, Trustee, Position 9",0926,171,128,299,796,37.56%,124,24,21,169
"Lone Star College System, Trustee, Position 9",0982,312,312,624,1567,39.82%,243,37,35,315
"Lone Star College System, Trustee, Position 9",0983,11,21,32,161,19.88%,9,5,2,16
"Lone Star College System, Trustee, Position 9",0998,5,1,6,57,10.53%,1,1,1,3
"Lone Star College System, Trustee, Position 9",1025,0,1,1,14,7.14%,0,0,0,0
"Lone Star College System, Trustee, Position 9",1026,0,0,0,0,0.00%,0,0,0,0
"Lone Star College System, Trustee, Position 9",1036,65,24,89,449,19.82%,36,5,2,43
"Lone Star College System, Trustee, Position 9",Totals:,29392,23190,52582,132313,19496,3908,3884,27288
