Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,DEM Lawrence A. Allen Jr.,Totals
"Member, State Board of Education, District 4",0007,209,110,319,1017,31.37%,11,300,311
"Member, State Board of Education, District 4",0009,206,223,429,1874,22.89%,126,276,402
"Member, State Board of Education, District 4",0010,255,171,426,1753,24.30%,140,264,404
"Member, State Board of Education, District 4",0011,184,176,360,1785,20.17%,83,254,337
"Member, State Board of Education, District 4",0016,239,137,376,1071,35.11%,172,179,351
"Member, State Board of Education, District 4",0017,185,215,400,1162,34.42%,172,209,381
"Member, State Board of Education, District 4",0019,170,207,377,1170,32.22%,122,237,359
"Member, State Board of Education, District 4",0020,312,287,599,2646,22.64%,168,403,571
"Member, State Board of Education, District 4",0021,176,184,360,1122,32.09%,72,274,346
"Member, State Board of Education, District 4",0022,397,322,719,2473,29.07%,138,559,697
"Member, State Board of Education, District 4",0023,31,22,53,541,9.80%,8,42,50
"Member, State Board of Education, District 4",0024,106,88,194,655,29.62%,16,172,188
"Member, State Board of Education, District 4",0025,105,143,248,1086,22.84%,10,234,244
"Member, State Board of Education, District 4",0026,239,277,516,1845,27.97%,149,330,479
"Member, State Board of Education, District 4",0027,463,427,890,3074,28.95%,253,603,856
"Member, State Board of Education, District 4",0029,194,237,431,2638,16.34%,177,235,412
"Member, State Board of Education, District 4",0030,368,391,759,2403,31.59%,200,536,736
"Member, State Board of Education, District 4",0031,453,280,733,2511,29.19%,18,696,714
"Member, State Board of Education, District 4",0035,4,0,4,11,36.36%,1,3,4
"Member, State Board of Education, District 4",0036,416,318,734,2927,25.08%,207,490,697
"Member, State Board of Education, District 4",0042,228,109,337,1071,31.47%,7,323,330
"Member, State Board of Education, District 4",0045,894,750,1644,6698,24.54%,335,1271,1606
"Member, State Board of Education, District 4",0047,213,218,431,1627,26.49%,20,403,423
"Member, State Board of Education, District 4",0048,157,142,299,940,31.81%,27,267,294
"Member, State Board of Education, District 4",0061,172,204,376,1773,21.21%,161,192,353
"Member, State Board of Education, District 4",0062,145,322,467,2181,21.41%,139,300,439
"Member, State Board of Education, District 4",0064,191,221,412,2141,19.24%,114,282,396
"Member, State Board of Education, District 4",0065,172,230,402,2167,18.55%,132,249,381
"Member, State Board of Education, District 4",0066,69,143,212,1098,19.31%,45,158,203
"Member, State Board of Education, District 4",0067,304,282,586,2794,20.97%,179,376,555
"Member, State Board of Education, District 4",0068,553,352,905,2924,30.95%,24,860,884
"Member, State Board of Education, District 4",0069,80,124,204,1284,15.89%,51,140,191
"Member, State Board of Education, District 4",0072,220,293,513,1924,26.66%,196,298,494
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,DEM Lawrence A. Allen Jr.,Totals
"Member, State Board of Education, District 4",0073,252,414,666,1555,42.83%,361,263,624
"Member, State Board of Education, District 4",0077,43,46,89,566,15.72%,21,67,88
"Member, State Board of Education, District 4",0078,180,201,381,1522,25.03%,154,211,365
"Member, State Board of Education, District 4",0079,205,306,511,2927,17.46%,163,323,486
"Member, State Board of Education, District 4",0080,501,351,852,2725,31.27%,219,599,818
"Member, State Board of Education, District 4",0081,183,187,370,1835,20.16%,151,201,352
"Member, State Board of Education, District 4",0083,1296,888,2184,6625,32.97%,1062,1065,2127
"Member, State Board of Education, District 4",0085,271,248,519,2173,23.88%,21,491,512
"Member, State Board of Education, District 4",0093,381,301,682,3356,20.32%,284,356,640
"Member, State Board of Education, District 4",0094,51,43,94,549,17.12%,30,60,90
"Member, State Board of Education, District 4",0101,72,58,130,946,13.74%,53,76,129
"Member, State Board of Education, District 4",0104,530,231,761,1905,39.95%,17,734,751
"Member, State Board of Education, District 4",0105,196,210,406,2165,18.75%,138,239,377
"Member, State Board of Education, District 4",0106,18,7,25,294,8.50%,17,8,25
"Member, State Board of Education, District 4",0107,154,197,351,2032,17.27%,66,274,340
"Member, State Board of Education, District 4",0109,529,245,774,2824,27.41%,11,752,763
"Member, State Board of Education, District 4",0115,238,150,388,1800,21.56%,57,323,380
"Member, State Board of Education, District 4",0122,352,225,577,1890,30.53%,19,543,562
"Member, State Board of Education, District 4",0131,251,259,510,1935,26.36%,129,357,486
"Member, State Board of Education, District 4",0132,593,323,916,2387,38.37%,20,876,896
"Member, State Board of Education, District 4",0134,192,265,457,1437,31.80%,219,222,441
"Member, State Board of Education, District 4",0136,503,371,874,2013,43.42%,35,823,858
"Member, State Board of Education, District 4",0138,296,199,495,1699,29.13%,16,469,485
"Member, State Board of Education, District 4",0140,699,480,1179,3214,36.68%,129,1017,1146
"Member, State Board of Education, District 4",0142,87,103,190,902,21.06%,68,116,184
"Member, State Board of Education, District 4",0144,216,158,374,1093,34.22%,10,356,366
"Member, State Board of Education, District 4",0145,254,213,477,1538,31.01%,11,455,466
"Member, State Board of Education, District 4",0146,426,519,945,2008,47.06%,404,498,902
"Member, State Board of Education, District 4",0147,689,329,1018,3008,33.84%,128,860,988
"Member, State Board of Education, District 4",0150,236,169,405,1256,32.25%,12,387,399
"Member, State Board of Education, District 4",0151,137,79,216,826,26.15%,8,201,209
"Member, State Board of Education, District 4",0152,213,299,512,2788,18.36%,145,351,496
"Member, State Board of Education, District 4",0153,125,206,331,1808,18.31%,121,196,317
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,DEM Lawrence A. Allen Jr.,Totals
"Member, State Board of Education, District 4",0154,249,183,432,2190,19.73%,132,277,409
"Member, State Board of Education, District 4",0156,799,326,1125,3071,36.63%,44,1057,1101
"Member, State Board of Education, District 4",0157,448,214,662,2236,29.61%,24,623,647
"Member, State Board of Education, District 4",0158,600,315,915,3035,30.15%,20,879,899
"Member, State Board of Education, District 4",0159,116,127,243,998,24.35%,38,198,236
"Member, State Board of Education, District 4",0160,122,73,195,696,28.02%,4,191,195
"Member, State Board of Education, District 4",0161,163,141,304,991,30.68%,4,296,300
"Member, State Board of Education, District 4",0162,101,83,184,1265,14.55%,71,101,172
"Member, State Board of Education, District 4",0163,230,320,550,3037,18.11%,244,283,527
"Member, State Board of Education, District 4",0164,182,205,387,1420,27.25%,10,371,381
"Member, State Board of Education, District 4",0167,3,0,3,24,12.50%,0,3,3
"Member, State Board of Education, District 4",0168,92,58,150,503,29.82%,3,144,147
"Member, State Board of Education, District 4",0169,516,251,767,2513,30.52%,12,738,750
"Member, State Board of Education, District 4",0171,202,198,400,1604,24.94%,13,382,395
"Member, State Board of Education, District 4",0172,85,80,166,621,26.73%,72,86,158
"Member, State Board of Education, District 4",0180,470,343,813,2834,28.69%,24,756,780
"Member, State Board of Education, District 4",0181,175,262,437,2061,21.20%,158,260,418
"Member, State Board of Education, District 4",0184,106,135,241,994,24.25%,90,134,224
"Member, State Board of Education, District 4",0185,283,292,575,1933,29.75%,215,339,554
"Member, State Board of Education, District 4",0186,97,106,203,798,25.44%,36,162,198
