Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
PROPOSITION 1,0001,417,466,883,2358,37.45%,586,161,747
PROPOSITION 1,0002,334,313,647,1961,32.99%,457,108,565
PROPOSITION 1,0003,326,405,731,1560,46.86%,501,132,633
PROPOSITION 1,0004,359,487,856,1668,51.32%,595,139,734
PROPOSITION 1,0005,280,448,728,1417,51.38%,506,129,635
PROPOSITION 1,0006,656,456,1112,3702,30.04%,704,216,920
PROPOSITION 1,0007,209,110,319,1017,31.37%,183,37,220
PROPOSITION 1,0008,393,310,703,1744,40.31%,459,119,578
PROPOSITION 1,0009,206,223,429,1874,22.89%,254,81,335
PROPOSITION 1,0010,255,171,426,1753,24.30%,224,76,300
PROPOSITION 1,0011,184,176,360,1785,20.17%,177,61,238
PROPOSITION 1,0012,86,66,152,735,20.68%,90,26,116
PROPOSITION 1,0013,548,361,909,2689,33.80%,604,139,743
PROPOSITION 1,0014,442,495,937,1870,50.11%,663,139,802
PROPOSITION 1,0015,597,898,1495,2878,51.95%,1045,228,1273
PROPOSITION 1,0016,243,137,380,1071,35.48%,271,55,326
PROPOSITION 1,0017,185,215,400,1162,34.42%,236,82,318
PROPOSITION 1,0018,371,351,722,1443,50.03%,499,123,622
PROPOSITION 1,0019,172,207,379,1170,32.39%,282,50,332
PROPOSITION 1,0020,313,287,600,2646,22.68%,410,105,515
PROPOSITION 1,0021,179,184,363,1122,32.35%,251,51,302
PROPOSITION 1,0022,397,322,719,2473,29.07%,458,117,575
PROPOSITION 1,0023,31,22,53,541,9.80%,31,11,42
PROPOSITION 1,0024,107,88,195,655,29.77%,129,35,164
PROPOSITION 1,0025,105,143,248,1086,22.84%,137,44,181
PROPOSITION 1,0026,241,277,518,1845,28.08%,325,113,438
PROPOSITION 1,0027,463,427,890,3074,28.95%,563,182,745
PROPOSITION 1,0028,537,405,1042,3029,34.40%,674,134,808
PROPOSITION 1,0029,194,237,431,2638,16.34%,255,68,323
PROPOSITION 1,0030,369,391,760,2403,31.63%,507,127,634
PROPOSITION 1,0031,455,280,735,2511,29.27%,393,121,514
PROPOSITION 1,0032,320,405,725,2398,30.23%,494,131,625
PROPOSITION 1,0033,709,615,1324,3706,35.73%,949,197,1146
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
PROPOSITION 1,0034,626,579,1205,2786,43.25%,838,213,1051
PROPOSITION 1,0035,4,0,4,11,36.36%,2,1,3
PROPOSITION 1,0036,416,318,734,2927,25.08%,449,135,584
PROPOSITION 1,0037,542,436,978,2106,46.44%,672,149,821
PROPOSITION 1,0038,786,589,1375,2875,47.83%,966,208,1174
PROPOSITION 1,0039,659,575,1234,2759,44.73%,883,200,1083
PROPOSITION 1,0040,136,152,288,541,53.23%,197,41,238
PROPOSITION 1,0041,176,230,406,1334,30.43%,262,61,323
PROPOSITION 1,0042,228,109,337,1071,31.47%,170,50,220
PROPOSITION 1,0043,293,210,503,1695,29.68%,306,114,420
PROPOSITION 1,0044,204,222,426,2001,21.29%,224,109,333
PROPOSITION 1,0045,894,750,1644,6698,24.54%,869,302,1171
PROPOSITION 1,0046,290,247,537,2511,21.39%,321,84,405
PROPOSITION 1,0047,213,218,431,1627,26.49%,251,81,332
