Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Pasadena ISD, Proposition 1",0029,194,237,431,2638,16.34%,270,73,343
"Pasadena ISD, Proposition 1",0076,373,374,747,2362,31.63%,480,168,648
"Pasadena ISD, Proposition 1",0077,43,46,89,566,15.72%,61,11,72
"Pasadena ISD, Proposition 1",0093,381,301,682,3356,20.32%,392,146,538
"Pasadena ISD, Proposition 1",0134,0,0,0,0,0.00%,0,0,0
"Pasadena ISD, Proposition 1",0170,271,141,412,1869,22.04%,252,88,340
"Pasadena ISD, Proposition 1",0181,2,2,4,10,40.00%,3,1,4
"Pasadena ISD, Proposition 1",0188,153,146,299,1637,18.27%,192,59,251
"Pasadena ISD, Proposition 1",0190,120,177,297,1723,17.24%,182,65,247
"Pasadena ISD, Proposition 1",0191,79,126,205,1366,15.01%,140,32,172
"Pasadena ISD, Proposition 1",0211,0,0,0,0,0.00%,0,0,0
"Pasadena ISD, Proposition 1",0221,98,127,225,904,24.89%,145,40,185
"Pasadena ISD, Proposition 1",0242,173,162,335,1596,20.99%,223,67,290
"Pasadena ISD, Proposition 1",0257,204,245,449,2523,17.80%,278,102,380
"Pasadena ISD, Proposition 1",0267,146,166,312,1327,23.51%,196,71,267
"Pasadena ISD, Proposition 1",0275,10,3,13,34,38.24%,7,6,13
"Pasadena ISD, Proposition 1",0277,170,186,356,1492,23.86%,238,73,311
"Pasadena ISD, Proposition 1",0278,421,320,741,2454,30.20%,492,166,658
"Pasadena ISD, Proposition 1",0279,100,68,168,893,18.81%,102,42,144
"Pasadena ISD, Proposition 1",0280,130,188,318,1524,20.87%,198,55,253
"Pasadena ISD, Proposition 1",0289,186,212,398,1564,25.45%,234,97,331
"Pasadena ISD, Proposition 1",0301,209,212,421,2332,18.05%,265,83,348
"Pasadena ISD, Proposition 1",0302,38,41,79,300,26.33%,48,16,64
"Pasadena ISD, Proposition 1",0308,84,70,154,568,27.11%,87,51,138
"Pasadena ISD, Proposition 1",0328,151,140,291,1434,20.29%,170,64,234
"Pasadena ISD, Proposition 1",0329,12,7,19,84,22.62%,10,2,12
"Pasadena ISD, Proposition 1",0347,592,436,1028,3387,30.35%,638,242,880
"Pasadena ISD, Proposition 1",0348,438,208,646,1708,37.82%,410,132,542
"Pasadena ISD, Proposition 1",0394,69,73,142,834,17.03%,93,31,124
"Pasadena ISD, Proposition 1",0404,419,330,749,2585,28.97%,467,179,646
"Pasadena ISD, Proposition 1",0417,342,384,726,2401,30.24%,443,164,607
"Pasadena ISD, Proposition 1",0418,403,469,872,3584,24.33%,531,194,725
"Pasadena ISD, Proposition 1",0419,571,324,895,2658,33.67%,588,212,800
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Pasadena ISD, Proposition 1",0475,120,179,299,1111,26.91%,183,69,252
"Pasadena ISD, Proposition 1",0476,404,473,877,2430,36.09%,569,201,770
"Pasadena ISD, Proposition 1",0527,37,40,77,574,13.41%,43,15,58
"Pasadena ISD, Proposition 1",0534,556,376,932,2823,33.01%,591,204,795
"Pasadena ISD, Proposition 1",0536,554,780,1334,5139,25.96%,843,288,1131
"Pasadena ISD, Proposition 1",0537,25,19,44,105,41.90%,26,11,37
"Pasadena ISD, Proposition 1",0545,35,22,57,157,36.31%,35,18,53
"Pasadena ISD, Proposition 1",0654,950,1005,1955,6208,31.49%,1241,433,1674
"Pasadena ISD, Proposition 1",0679,635,520,1155,3381,34.16%,762,238,1000
"Pasadena ISD, Proposition 1",0696,198,171,369,1290,28.60%,194,101,295
"Pasadena ISD, Proposition 1",0708,54,52,106,563,18.83%,62,22,84
"Pasadena ISD, Proposition 1",0715,176,187,363,1406,25.82%,210,84,294
"Pasadena ISD, Proposition 1",0718,11,1,12,119,10.08%,5,1,6
"Pasadena ISD, Proposition 1",0752,286,200,486,1483,32.77%,305,100,405
"Pasadena ISD, Proposition 1",0755,442,584,1026,4294,23.89%,657,232,889
"Pasadena ISD, Proposition 1",0762,0,0,0,0,0.00%,0,0,0
"Pasadena ISD, Proposition 1",0763,108,146,254,1212,20.96%,147,60,207
"Pasadena ISD, Proposition 1",0770,31,25,56,323,17.34%,33,14,47
"Pasadena ISD, Proposition 1",0774,17,19,36,160,22.50%,24,5,29
"Pasadena ISD, Proposition 1",0777,46,40,86,652,13.19%,63,4,67
"Pasadena ISD, Proposition 1",0785,28,25,53,296,17.91%,34,14,48
"Pasadena ISD, Proposition 1",0786,100,98,198,1251,15.83%,134,29,163
"Pasadena ISD, Proposition 1",0793,448,247,695,2484,27.98%,401,173,574
"Pasadena ISD, Proposition 1",0796,76,47,123,458,26.86%,74,30,104
"Pasadena ISD, Proposition 1",0842,421,434,855,3259,26.24%,549,181,730
"Pasadena ISD, Proposition 1",0849,0,1,1,0,0.00%,1,0,1
"Pasadena ISD, Proposition 1",0908,0,1,1,0,0.00%,1,0,1
"Pasadena ISD, Proposition 1",0996,31,21,52,109,47.71%,32,12,44
"Pasadena ISD, Proposition 1",1034,0,0,0,0,0.00%,0,0,0
"Pasadena ISD, Proposition 1",1041,0,2,2,0,0.00%,2,0,2
"Pasadena ISD, Proposition 1",Totals:,12371,11636,24007,93000,15056,5271,20327
