Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Sitton,DEM Steve Brown,LIB Mark A. Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0001,417,466,883,2358,37.45%,283,511,33,29,856
Railroad Commissioner,0002,334,313,647,1961,32.99%,266,318,19,18,621
Railroad Commissioner,0003,326,405,731,1560,46.86%,260,389,23,21,693
Railroad Commissioner,0004,369,487,856,1668,51.32%,306,467,26,24,823
Railroad Commissioner,0005,280,448,728,1417,51.38%,257,398,20,22,697
Railroad Commissioner,0006,656,456,1112,3702,30.04%,606,413,43,27,1089
Railroad Commissioner,0007,209,110,319,1017,31.37%,13,295,2,2,312
Railroad Commissioner,0008,393,310,703,1744,40.31%,349,297,23,23,692
Railroad Commissioner,0009,206,223,429,1874,22.89%,110,260,13,22,405
Railroad Commissioner,0010,255,171,426,1753,24.30%,110,263,8,29,410
Railroad Commissioner,0011,184,176,360,1785,20.17%,66,247,9,16,338
Railroad Commissioner,0012,86,66,152,735,20.68%,83,60,4,1,148
Railroad Commissioner,0013,548,361,909,2689,33.80%,651,206,19,12,888
Railroad Commissioner,0014,442,495,937,1870,50.11%,504,376,16,11,907
Railroad Commissioner,0015,597,898,1495,2878,51.95%,864,517,22,20,1423
Railroad Commissioner,0016,243,137,380,1071,35.48%,171,171,17,8,367
Railroad Commissioner,0017,185,215,400,1162,34.42%,170,190,15,5,380
Railroad Commissioner,0018,371,351,722,1443,50.03%,330,333,19,9,691
Railroad Commissioner,0019,172,207,379,1170,32.39%,118,226,10,7,361
Railroad Commissioner,0020,313,287,600,2646,22.68%,160,379,29,14,582
Railroad Commissioner,0021,179,184,363,1122,32.35%,74,255,14,8,351
Railroad Commissioner,0022,397,322,719,2473,29.07%,136,551,7,14,708
Railroad Commissioner,0023,31,22,53,541,9.80%,8,40,1,2,51
Railroad Commissioner,0024,107,88,195,655,29.77%,13,171,3,4,191
Railroad Commissioner,0025,105,143,248,1086,22.84%,8,229,2,6,245
Railroad Commissioner,0026,241,277,518,1845,28.08%,122,313,9,40,484
Railroad Commissioner,0027,453,427,890,3074,28.95%,216,570,23,59,868
Railroad Commissioner,0028,637,405,1042,3029,34.40%,668,316,12,9,1005
Railroad Commissioner,0029,194,237,431,2638,16.34%,167,224,7,17,415
Railroad Commissioner,0030,369,391,760,2403,31.63%,182,511,26,20,739
Railroad Commissioner,0031,455,280,735,2511,29.27%,17,691,3,7,718
Railroad Commissioner,0032,320,405,725,2398,30.23%,282,358,46,13,699
Railroad Commissioner,0033,709,615,1324,3706,35.73%,412,779,48,39,1278
Railroad Commissioner,0034,626,579,1205,2786,43.25%,274,811,36,39,1160
Railroad Commissioner,0035,4,0,4,11,36.36%,1,3,0,0,4
Railroad Commissioner,0036,416,318,734,2927,25.08%,193,488,9,20,710
Railroad Commissioner,0037,542,436,978,2106,46.44%,278,614,30,16,938
Railroad Commissioner,0038,786,589,1375,2875,47.83%,464,781,38,42,1325
Railroad Commissioner,0039,659,575,1234,2759,44.73%,304,820,30,39,1193
Railroad Commissioner,0040,136,152,288,541,53.23%,143,119,7,5,274
Railroad Commissioner,0041,176,230,406,1334,30.43%,164,222,11,3,400
Railroad Commissioner,0042,228,109,337,1071,31.47%,5,322,1,2,330
Railroad Commissioner,0043,293,210,503,1695,29.68%,258,201,10,14,483
Railroad Commissioner,0044,204,222,426,2001,21.29%,86,277,13,31,407
Railroad Commissioner,0045,894,750,1644,6698,24.54%,305,1249,20,36,1610
Railroad Commissioner,0046,290,247,537,2511,21.39%,91,380,11,36,518
Railroad Commissioner,0047,213,218,431,1627,26.49%,14,399,3,9,425
Railroad Commissioner,0048,158,142,300,940,31.91%,26,264,5,2,297
Railroad Commissioner,0049,584,482,1066,3343,31.89%,774,246,15,9,1044
Railroad Commissioner,0050,785,771,1556,5211,29.86%,815,642,38,27,1522
Railroad Commissioner,0051,353,243,596,1689,35.29%,437,125,15,7,584
Railroad Commissioner,0052,422,447,869,2457,35.37%,408,391,26,12,837
Railroad Commissioner,0053,564,726,1290,2971,43.42%,511,660,41,31,1243
Railroad Commissioner,0054,270,364,634,1487,42.64%,309,268,19,17,613
Railroad Commissioner,0055,191,251,442,1506,29.35%,196,199,17,13,425
Railroad Commissioner,0056,282,278,560,1326,42.23%,365,151,19,6,541
Railroad Commissioner,0057,710,831,1541,3153,48.87%,601,809,39,31,1480
Railroad Commissioner,0058,470,556,1026,2690,38.14%,414,512,42,26,994
Railroad Commissioner,0059,555,609,1164,2544,45.75%,443,603,49,31,1126
Railroad Commissioner,0060,500,564,1064,2453,43.38%,261,669,42,56,1028
Railroad Commissioner,0061,172,204,376,1773,21.21%,148,195,1,11,355
Railroad Commissioner,0062,145,322,467,2181,21.41%,117,301,5,25,448
Railroad Commissioner,0063,264,354,618,1826,33.84%,486,93,19,5,603
Railroad Commissioner,0064,191,221,412,2141,19.24%,80,277,4,32,393
Railroad Commissioner,0065,172,230,402,2167,18.55%,88,260,4,33,385
