Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Fred Rivas,Totals
"Sheldon ISD, Trustee, Position 4",0045,893,747,1640,6695,24.50%,809,809
"Sheldon ISD, Trustee, Position 4",0220,45,14,59,204,28.92%,17,17
"Sheldon ISD, Trustee, Position 4",0353,0,0,0,0,0.00%,0,0
"Sheldon ISD, Trustee, Position 4",0376,170,138,308,1173,26.26%,162,162
"Sheldon ISD, Trustee, Position 4",0380,22,16,38,76,50.00%,14,14
"Sheldon ISD, Trustee, Position 4",0382,132,157,289,922,31.34%,124,124
"Sheldon ISD, Trustee, Position 4",0460,148,94,242,946,25.58%,109,109
"Sheldon ISD, Trustee, Position 4",0742,0,1,1,0,0.00%,0,0
"Sheldon ISD, Trustee, Position 4",0834,0,0,0,0,0.00%,0,0
"Sheldon ISD, Trustee, Position 4",0963,64,41,105,426,24.65%,43,43
"Sheldon ISD, Trustee, Position 4",0965,31,21,52,343,15.16%,31,31
"Sheldon ISD, Trustee, Position 4",0976,68,62,130,683,19.03%,59,59
"Sheldon ISD, Trustee, Position 4",Totals:,1573,1291,2864,11468,1368,1368
