Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Ken Coleman,Will Garza,Totals
"Sheldon ISD, Trustee, Position 5",0045,893,747,1640,6695,24.50%,817,250,1067
"Sheldon ISD, Trustee, Position 5",0220,45,14,59,204,28.92%,18,0,18
"Sheldon ISD, Trustee, Position 5",0353,0,0,0,0,0.00%,0,0,0
"Sheldon ISD, Trustee, Position 5",0376,170,138,308,1173,26.26%,154,45,199
"Sheldon ISD, Trustee, Position 5",0380,22,16,38,76,50.00%,17,3,20
"Sheldon ISD, Trustee, Position 5",0382,132,157,289,922,31.34%,126,37,163
"Sheldon ISD, Trustee, Position 5",0460,148,94,242,946,25.58%,72,59,131
"Sheldon ISD, Trustee, Position 5",0742,0,1,1,0,0.00%,0,0,0
"Sheldon ISD, Trustee, Position 5",0834,0,0,0,0,0.00%,0,0,0
"Sheldon ISD, Trustee, Position 5",0963,54,41,105,426,24.65%,37,16,53
"Sheldon ISD, Trustee, Position 5",0965,31,21,52,343,15.16%,26,9,35
"Sheldon ISD, Trustee, Position 5",0976,88,62,130,683,19.03%,57,24,81
"Sheldon ISD, Trustee, Position 5",Totals;,1573,1291,2864,11468,,1324,443,1767
