Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Devora Eaglin Myles,Shane Schultz,Araceli Schmaltz,Totals
"Sheldon ISD, Trustee, Position 6",0045,893,747,1640,6695,24.50%,678,331,107,1116
"Sheldon ISD, Trustee, Position 6",0220,45,14,59,204,28.92%,1,13,3,17
"Sheldon ISD, Trustee, Position 6",0353,0,0,0,0,0.00%,0,0,0,0
"Sheldon ISD, Trustee, Position 6",0376,170,138,308,1173,26.26%,52,107,30,189
"Sheldon ISD, Trustee, Position 6",0380,22,16,38,76,50.00%,4,7,6,17
"Sheldon ISD, Trustee, Position 6",0382,132,157,289,922,31.34%,41,88,23,152
"Sheldon ISD, Trustee, Position 6",0460,148,94,242,946,25.58%,60,38,35,133
"Sheldon ISD, Trustee, Position 6",0742,0,1,1,0,0.00%,0,0,0,0
"Sheldon ISD, Trustee, Position 6",0834,0,0,0,0,0.00%,0,0,0,0
"Sheldon ISD, Trustee, Position 6",0963,64,41,105,426,24.65%,18,26,9,53
"Sheldon ISD, Trustee, Position 6",0965,31,21,52,343,15.16%,4,24,7,35
"Sheldon ISD, Trustee, Position 6",0976,68,62,130,683,19.03%,16,46,16,78
"Sheldon ISD, Trustee, Position 6",Totals:,1573,1291,2864,11468,,874,680,236,1790
