Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Debbie Kolacny,Totals
"Sheldon ISD, Trustee, Position 7",0045,893,747,1640,6695,24.50%,870,870
"Sheldon ISD, Trustee, Position 7",0220,45,14,59,204,28.92%,17,17
"Sheldon ISD, Trustee, Position 7",0353,0,0,0,0,0.00%,0,0
"Sheldon ISD, Trustee, Position 7",0376,170,138,308,1173,26.26%,182,182
"Sheldon ISD, Trustee, Position 7",0380,22,16,38,76,50.00%,14,14
"Sheldon ISD, Trustee, Position 7",0382,132,157,289,922,31.34%,138,138
"Sheldon ISD, Trustee, Position 7",0460,148,94,242,946,25.58%,108,108
"Sheldon ISD, Trustee, Position 7",0742,0,1,1,0,0.00%,0,0
"Sheldon ISD, Trustee, Position 7",0834,0,0,0,0,0.00%,0,0
"Sheldon ISD, Trustee, Position 7",0963,64,41,105,426,24.65%,45,45
"Sheldon ISD, Trustee, Position 7",0965,31,21,52,343,15.16%,30,30
"Sheldon ISD, Trustee, Position 7",0976,68,62,130,683,19.03%,62,62
"Sheldon ISD, Trustee, Position 7",Totals:,1573,1291,2864,11468,,1466,1466
