Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Rhonda L. Faust,Tammi Humphrey,Totals
"Spring ISD, Trustee, Position 4",0006,656,456,1112,3702,30.04%,621,178,799
"Spring ISD, Trustee, Position 4",0041,176,230,406,1334,30.43%,162,113,275
"Spring ISD, Trustee, Position 4",0110,654,494,1148,3042,37.74%,628,175,803
"Spring ISD, Trustee, Position 4",0342,281,290,571,2634,21.68%,199,166,365
"Spring ISD, Trustee, Position 4",0358,4,0,4,39,10.26%,1,0,1
"Spring ISD, Trustee, Position 4",0399,33,40,73,677,10.78%,26,14,40
"Spring ISD, Trustee, Position 4",0452,33,28,61,185,32.97%,27,10,37
"Spring ISD, Trustee, Position 4",0465,687,520,1207,3564,33.87%,467,244,711
"Spring ISD, Trustee, Position 4",0466,1058,614,1672,4184,39.96%,689,322,1011
"Spring ISD, Trustee, Position 4",0468,8,16,24,127,18.90%,9,4,13
"Spring ISD, Trustee, Position 4",0482,3,50,53,8,662.50%,16,7,23
"Spring ISD, Trustee, Position 4",0500,90,49,139,546,25.46%,46,24,70
"Spring ISD, Trustee, Position 4",0520,473,457,930,4580,20.31%,331,247,578
"Spring ISD, Trustee, Position 4",0549,338,407,745,2581,28.86%,249,175,424
"Spring ISD, Trustee, Position 4",0550,501,431,932,3031,30.75%,396,162,558
"Spring ISD, Trustee, Position 4",0586,638,680,1318,4316,30.54%,644,223,867
"Spring ISD, Trustee, Position 4",0588,758,674,1432,3645,39.29%,767,215,982
"Spring ISD, Trustee, Position 4",0596,441,348,789,3007,26.24%,337,160,497
"Spring ISD, Trustee, Position 4",0614,503,445,948,3311,28.63%,339,256,595
"Spring ISD, Trustee, Position 4",0615,480,299,779,1967,39.60%,268,157,425
"Spring ISD, Trustee, Position 4",0629,37,53,90,696,12.93%,31,24,55
"Spring ISD, Trustee, Position 4",0634,458,442,900,3029,29.71%,454,166,620
"Spring ISD, Trustee, Position 4",0660,950,825,1775,5372,33.04%,584,626,1210
"Spring ISD, Trustee, Position 4",0717,373,250,623,2000,31.15%,190,160,350
"Spring ISD, Trustee, Position 4",0747,550,467,1017,3743,27.17%,491,206,697
"Spring ISD, Trustee, Position 4",0757,520,508,1028,4035,25.48%,347,275,622
"Spring ISD, Trustee, Position 4",0794,20,34,54,517,10.44%,17,14,31
"Spring ISD, Trustee, Position 4",0851,81,71,152,435,34.94%,69,20,89
"Spring ISD, Trustee, Position 4",0883,596,645,1241,4991,24.86%,494,305,799
"Spring ISD, Trustee, Position 4",0888,0,3,3,0,0.00%,2,1,3
"Spring ISD, Trustee, Position 4",0897,252,297,549,1701,32.28%,256,115,371
"Spring ISD, Trustee, Position 4",0898,0,0,0,3,0.00%,0,0,0
"Spring ISD, Trustee, Position 4",0912,316,201,517,1273,40.61%,309,50,359
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Rhonda L. Faust,Tammi Humphrey,Totals
"Spring ISD, Trustee, Position 4",0913,0,0,0,0,0.00%,0,0,0
"Spring ISD, Trustee, Position 4",0957,97,95,192,562,34.16%,71,40,111
"Spring ISD, Trustee, Position 4",0958,33,67,100,561,17.83%,27,30,57
"Spring ISD, Trustee, Position 4",0997,101,163,264,1656,15.94%,94,59,153
"Spring ISD, Trustee, Position 4",1014,4,6,10,31,32.26%,3,1,4
"Spring ISD, Trustee, Position 4",1015,5,4,9,25,36.00%,2,5,7
"Spring ISD, Trustee, Position 4",1017,61,44,105,330,31.82%,45,27,72
"Spring ISD, Trustee, Position 4",1018,93,64,157,494,31.78%,62,38,100
"Spring ISD, Trustee, Position 4",1035,2,4,6,138,4.35%,2,1,3
"Spring ISD, Trustee, Position 4",1045,197,173,370,1788,20.69%,106,99,205
"Spring ISD, Trustee, Position 4",Totals:,12561,10944,23505,79860,9878,5114,14992
