Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Allen Fletcher,GRN Art Browning,Totals
"State Representative, District 130",0049,584,482,1066,3343,31.89%,807,104,911
"State Representative, District 130",0111,816,795,1611,4102,39.27%,1255,152,1407
"State Representative, District 130",0121,92,178,270,848,31.84%,195,18,213
"State Representative, District 130",0124,1734,1292,3026,7254,41.71%,2493,208,2701
"State Representative, District 130",0126,893,467,1360,3100,43.87%,1233,46,1279
"State Representative, District 130",0127,435,154,589,1836,32.08%,440,45,485
"State Representative, District 130",0173,817,739,1556,3599,43.23%,1294,111,1405
"State Representative, District 130",0245,948,799,1745,5828,29.94%,1264,208,1472
"State Representative, District 130",0300,1389,1016,2405,5406,44.49%,2010,184,2194
"State Representative, District 130",0370,1532,1105,2637,6593,40.00%,2090,215,2305
"State Representative, District 130",0442,612,574,1186,2575,46.06%,1017,75,1092
"State Representative, District 130",0480,493,450,943,2415,39.05%,718,99,817
"State Representative, District 130",0481,770,623,1393,3482,40.01%,1093,128,1221
"State Representative, District 130",0485,1095,911,2006,5388,37.23%,1646,173,1819
"State Representative, District 130",0486,873,855,1728,3866,44.70%,1419,131,1550
"State Representative, District 130",0519,623,493,1116,2966,37.63%,865,125,990
"State Representative, District 130",0529,1043,491,1534,3710,41.35%,1354,92,1446
"State Representative, District 130",0602,293,235,528,1326,39.82%,408,54,462
"State Representative, District 130",0640,641,459,1100,3733,29.47%,738,141,879
"State Representative, District 130",0641,649,596,1245,3650,34.11%,878,122,1000
"State Representative, District 130",0688,999,617,1616,3504,46.12%,1356,107,1463
"State Representative, District 130",0691,2,5,7,25,28.00%,4,1,5
"State Representative, District 130",0713,228,262,490,1907,25.69%,282,76,358
"State Representative, District 130",0726,592,402,994,2087,47.63%,885,59,944
"State Representative, District 130",0734,1558,962,2520,7005,35.97%,1867,253,2120
"State Representative, District 130",0768,1359,1015,2374,5857,40.53%,2017,162,2179
"State Representative, District 130",0805,755,533,1298,2866,45.29%,1080,101,1181
"State Representative, District 130",0828,541,388,929,1916,48.49%,793,65,858
"State Representative, District 130",0878,427,354,781,1666,46.88%,667,53,720
"State Representative, District 130",0880,543,447,990,2352,42.09%,842,56,898
"State Representative, District 130",0926,171,128,299,796,37.56%,242,26,268
"State Representative, District 130",0979,2,6,8,27,29.63%,4,2,6
"State Representative, District 130",0980,280,321,601,1389,43.27%,470,44,514
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Allen Fletcher,GRN Art Browning,Totals
"State Representative, District 130",0982,312,312,624,1567,39.82%,529,40,569
"State Representative, District 130",0983,11,21,32,161,19.88%,19,9,28
"State Representative, District 130",1021,0,0,0,2,0.00%,0,0,0
"State Representative, District 130",1022,97,79,176,441,39.91%,143,14,157
"State Representative, District 130",1036,65,24,89,449,19.82%,72,7,79
"State Representative, District 130",Totals:,24282,18590,42872,109037,34489,3506,37995
