Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Schofield,DEM Luis Lopez,Totals
"State Representative, District 132",0119,1288,1024,2312,5500,42.04%,1915,354,2269
"State Representative, District 132",0143,1962,580,2542,6386,39.81%,1867,634,2501
"State Representative, District 132",0149,1521,737,2358,7993,29.50%,1246,1066,2312
"State Representative, District 132",0305,524,432,956,4191,22.81%,411,522,933
"State Representative, District 132",0362,1138,887,2025,5086,39.82%,1531,439,1970
"State Representative, District 132",0509,753,596,1349,3732,36.15%,976,334,1310
"State Representative, District 132",0521,471,464,935,2866,32.62%,515,392,907
"State Representative, District 132",0522,716,572,1288,2689,47.90%,1020,240,1260
"State Representative, District 132",0547,501,466,967,2406,40.19%,691,250,941
"State Representative, District 132",0589,500,386,886,3420,25.91%,505,363,868
"State Representative, District 132",0603,884,794,1678,4843,34.65%,1088,561,1649
"State Representative, District 132",0617,541,393,934,3809,24.52%,389,530,919
"State Representative, District 132",0618,948,567,1513,6003,25.20%,777,700,1477
"State Representative, District 132",0639,549,547,1096,2526,43.39%,903,169,1072
"State Representative, District 132",0644,1019,823,1842,5523,33.35%,1249,541,1790
"State Representative, District 132",0712,491,463,954,3670,25.99%,414,522,936
"State Representative, District 132",0720,994,780,1774,4282,41.43%,1358,376,1734
"State Representative, District 132",0751,925,964,1889,5084,37.16%,1293,553,1846
"State Representative, District 132",0813,938,761,1699,5807,29.26%,864,797,1661
"State Representative, District 132",0877,476,382,858,3032,28.30%,357,483,840
"State Representative, District 132",0879,407,294,701,2667,26.28%,367,313,680
"State Representative, District 132",0901,0,0,0,0,0.00%,0,0,0
"State Representative, District 132",0919,0,0,0,3,0.00%,0,0,0
"State Representative, District 132",0920,22,12,34,71,47.89%,23,10,33
"State Representative, District 132",0921,32,15,47,119,39.50%,35,11,46
"State Representative, District 132",0923,470,137,607,1511,40.17%,459,136,595
"State Representative, District 132",1005,0,8,8,0,0.00%,4,3,7
"State Representative, District 132",1061,332,184,516,1716,30.07%,278,224,502
"State Representative, District 132",Totals;,18500,13268,31768,94935,20535,10523,31058
