Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Armando Lucio Walle,Totals
"State Representative, District 140",0061,172,204,376,1773,21.21%,235,235
"State Representative, District 140",0107,154,197,351,2032,17.27%,296,296
"State Representative, District 140",0152,213,299,512,2788,18.36%,404,404
"State Representative, District 140",0185,283,292,575,1933,29.75%,383,383
"State Representative, District 140",0212,96,155,251,1300,19.31%,209,209
"State Representative, District 140",0241,222,229,451,2372,19.01%,280,280
"State Representative, District 140",0254,93,112,205,1550,13.23%,154,154
"State Representative, District 140",0261,124,120,244,1417,17.22%,153,153
"State Representative, District 140",0320,234,168,402,1537,26.15%,241,241
"State Representative, District 140",0321,252,191,453,2346,19.31%,299,299
"State Representative, District 140",0325,289,193,482,2112,22.82%,383,383
"State Representative, District 140",0326,87,74,161,698,23.07%,97,97
"State Representative, District 140",0366,252,270,522,2454,21.27%,399,399
"State Representative, District 140",0397,85,78,164,760,21.58%,92,92
"State Representative, District 140",0405,0,0,0,0,0.00%,0,0
"State Representative, District 140",0408,146,153,299,1691,17.68%,163,163
"State Representative, District 140",0409,122,149,271,1459,18.57%,169,169
"State Representative, District 140",0411,235,200,435,2339,18.60%,303,303
"State Representative, District 140",0423,108,120,228,1376,16.57%,165,165
"State Representative, District 140",0494,381,247,628,2467,25.46%,551,551
"State Representative, District 140",0571,155,149,304,1827,16.64%,205,205
"State Representative, District 140",0579,75,101,176,1056,16.67%,144,144
"State Representative, District 140",0591,183,231,414,2121,19.52%,312,312
"State Representative, District 140",0595,201,178,379,1693,22.39%,305,305
"State Representative, District 140",0608,31,47,78,537,14.53%,40,40
"State Representative, District 140",0664,352,250,602,2869,20.98%,483,483
"State Representative, District 140",0677,127,127,254,1266,20.06%,166,166
"State Representative, District 140",0683,29,20,49,276,17.75%,40,40
"State Representative, District 140",0702,64,70,134,539,24.86%,119,119
"State Representative, District 140",0714,35,19,55,296,18.58%,26,26
"State Representative, District 140",0775,18,3,21,92,22.83%,20,20
"State Representative, District 140",0779,64,51,115,940,12.23%,81,81
"State Representative, District 140",0780,63,59,122,595,20.50%,60,60
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Armando Lucio Walle,Totals
"State Representative, District 140",0787,46,52,98,488,20.08%,69,69
"State Representative, District 140",0792,269,239,508,1865,27.24%,388,388
"State Representative, District 140",0864,193,299,492,2569,19.15%,363,363
"State Representative, District 140",0909,2,1,3,18,16.67%,3,3
"State Representative, District 140",0910,25,24,49,217,22.58%,31,31
"State Representative, District 140",0937,0,0,0,0,0.00%,0,0
"State Representative, District 140",0959,0,0,0,0,0.00%,0,0
"State Representative, District 140",1012,134,201,335,1365,24.54%,236,236
"State Representative, District 140",1048,1,0,1,17,5.88%,1,1
"State Representative, District 140",1049,14,45,59,290,20.34%,41,41
"State Representative, District 140",1067,0,0,0,0,0.00%,0,0
"State Representative, District 140",1068,22,8,30,121,24.79%,16,16
"State Representative, District 140",Totals:,5663,5625,11288,55461,,8125,8125
