Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Ana Hernandez,Totals
"State Representative, District 143",0010,255,171,426,1753,24.30%,315,315
"State Representative, District 143",0011,184,176,360,1785,20.17%,287,287
"State Representative, District 143",0062,145,322,467,2181,21.41%,361,361
"State Representative, District 143",0064,191,221,412,2141,19.24%,332,332
"State Representative, District 143",0065,172,230,402,2167,18.55%,319,319
"State Representative, District 143",0069,80,124,204,1284,15.89%,157,157
"State Representative, District 143",0079,205,306,511,2927,17.46%,409,409
"State Representative, District 143",0080,501,351,852,2725,31.27%,658,658
"State Representative, District 143",0081,183,187,370,1835,20.16%,262,262
"State Representative, District 143",0141,80,80,160,855,18.71%,68,68
"State Representative, District 143",0162,101,83,184,1265,14.55%,117,117
"State Representative, District 143",0163,230,320,550,3037,18.11%,384,384
"State Representative, District 143",0164,182,205,387,1420,27.25%,372,372
"State Representative, District 143",0187,21,25,46,311,14.79%,32,32
"State Representative, District 143",0208,322,262,584,2195,26.61%,449,449
"State Representative, District 143",0220,325,187,512,2310,22.16%,164,164
"State Representative, District 143",0229,31,96,127,815,15.58%,70,70
"State Representative, District 143",0266,259,257,516,2104,24.52%,301,301
"State Representative, District 143",0354,715,338,1053,3388,31.08%,819,819
"State Representative, District 143",0368,178,88,266,958,27.77%,205,205
"State Representative, District 143",0375,254,220,474,2645,17.92%,274,274
"State Representative, District 143",0381,412,248,660,2855,23.12%,397,397
"State Representative, District 143",0413,767,386,1153,2992,38.54%,741,741
"State Representative, District 143",0528,14,12,26,90,28.89%,23,23
"State Representative, District 143",0530,114,107,221,1196,18.48%,171,171
"State Representative, District 143",0560,72,131,203,1120,18.13%,152,152
"State Representative, District 143",0605,907,558,1483,5582,26.21%,1135,1135
"State Representative, District 143",0719,247,137,384,1589,24.17%,173,173
"State Representative, District 143",0725,423,237,660,2237,29.50%,394,394
"State Representative, District 143",0769,54,16,70,183,38.25%,66,66
"State Representative, District 143",0790,0,0,0,3,0.00%,0,0
"State Representative, District 143",0810,9,16,25,211,11.85%,19,19
"State Representative, District 143",0811,29,50,79,270,29.26%,57,57
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Ana Hernandez,Totals
"State Representative, District 143",0812,0,0,0,0,0.00%,0,0
"State Representative, District 143",0821,124,120,244,1242,19.65%,213,213
"State Representative, District 143",0824,428,282,710,2700,26.30%,574,574
"State Representative, District 143",0838,0,0,0,0,0.00%,0,0
"State Representative, District 143",0857,0,0,0,1,0.00%,0,0
"State Representative, District 143",0860,0,0,0,0,0.00%,0,0
"State Representative, District 143",0862,0,0,0,0,0.00%,0,0
"State Representative, District 143",0905,123,100,223,904,24.67%,137,137
"State Representative, District 143",0935,3,2,5,54,9.26%,3,3
"State Representative, District 143",Totals:,8340,6649,14989,63330,,10610,10610
