Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hale,DEM John Whitmire,LIB Gilberto VelasqueL Jr.,Totals
"State Senator, District 15",0003,326,405,731,1560,46.86%,214,453,27,694
"State Senator, District 15",0004,369,487,856,1668,51.32%,255,553,23,831
"State Senator, District 15",0005,279,448,727,1417,51.31%,210,465,28,703
"State Senator, District 15",0028,636,405,1041,3029,34.37%,641,359,13,1013
"State Senator, District 15",0030,368,391,759,2403,31.59%,174,540,31,745
"State Senator, District 15",0032,318,405,723,2398,30.15%,264,415,25,704
"State Senator, District 15",0033,707,615,1322,3706,35.67%,369,873,40,1282
"State Senator, District 15",0034,625,579,1204,2786,43.22%,249,895,31,1175
"State Senator, District 15",0035,4,0,4,11,36.36%,1,3,0,4
"State Senator, District 15",0037,542,436,978,2106,46.44%,245,664,30,939
"State Senator, District 15",0038,784,589,1373,2875,47.76%,394,916,31,1341
"State Senator, District 15",0039,657,575,1232,2759,44.65%,252,911,30,1193
"State Senator, District 15",0040,136,152,288,541,53.23%,113,154,5,272
"State Senator, District 15",0043,293,210,503,1695,29.68%,247,222,19,488
"State Senator, District 15",0052,422,447,869,2457,35.37%,370,449,24,843
"State Senator, District 15",0053,564,726,1290,2971,43.42%,448,761,47,1256
"State Senator, District 15",0054,269,364,633,1487,42.57%,289,313,14,616
"State Senator, District 15",0055,191,251,442,1506,29.35%,186,226,14,426
"State Senator, District 15",0057,710,831,1541,3153,48.87%,498,947,43,1488
"State Senator, District 15",0058,469,556,1025,2690,38.10%,382,583,34,999
"State Senator, District 15",0059,555,609,1164,2544,45.75%,390,709,43,1142
"State Senator, District 15",0060,498,564,1062,2453,43.29%,224,767,30,1021
"State Senator, District 15",0063,264,354,618,1826,33.84%,473,127,11,611
"State Senator, District 15",0070,882,664,1546,3337,46.33%,797,677,34,1508
"State Senator, District 15",0071,602,722,1324,4197,31.55%,591,641,60,1292
"State Senator, District 15",0073,252,414,666,1555,42.83%,310,315,22,647
"State Senator, District 15",0075,254,280,534,1444,36.98%,175,320,23,518
"State Senator, District 15",0080,501,351,852,2725,31.27%,197,612,19,828
"State Senator, District 15",0086,447,568,1015,2910,34.88%,417,530,40,987
