Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Joan Huffman,DEM Rita Lucido,LIB George Hardy,GRN David Courtney,Totals
"State Senator, District 17",0008,393,310,703,1744,40.31%,358,307,16,11,692
"State Senator, District 17",0014,442,495,937,1870,50.11%,503,385,14,8,910
"State Senator, District 17",0015,597,898,1495,2878,51.95%,886,536,23,8,1453
"State Senator, District 17",0017,185,215,400,1162,34.42%,179,196,7,3,385
"State Senator, District 17",0018,371,351,722,1443,50.03%,334,335,13,10,692
"State Senator, District 17",0087,674,787,1461,2818,51.85%,949,455,28,5,1437
"State Senator, District 17",0089,165,371,536,1094,48.99%,317,193,9,10,529
"State Senator, District 17",0095,917,576,1493,3177,46.99%,1101,322,25,8,1456
"State Senator, District 17",0096,83,83,166,1296,12.81%,21,141,0,3,165
"State Senator, District 17",0116,982,776,1758,3147,55.86%,1337,326,29,7,1699
"State Senator, District 17",0118,304,123,427,759,56.26%,358,51,7,0,416
"State Senator, District 17",0128,445,707,1152,2290,50.31%,738,334,15,13,1100
"State Senator, District 17",0129,1030,1200,2230,5746,38.81%,1389,699,54,25,2167
"State Senator, District 17",0130,727,523,1250,2333,53.58%,936,264,14,6,1220
"State Senator, District 17",0133,513,858,1371,2662,51.50%,821,474,27,3,1325
"State Senator, District 17",0135,727,579,1306,2671,48.90%,916,315,19,5,1255
"State Senator, District 17",0137,166,141,307,716,42.88%,142,139,10,5,296
"State Senator, District 17",0139,699,551,1250,3037,41.16%,545,623,26,12,1206
"State Senator, District 17",0146,426,519,945,2008,47.06%,415,458,18,19,910
"State Senator, District 17",0148,500,780,1280,2540,50.39%,498,692,28,8,1226
"State Senator, District 17",0175,557,749,1306,2618,49.89%,684,557,17,11,1269
"State Senator, District 17",0176,344,451,795,1602,49.63%,435,302,10,7,754
"State Senator, District 17",0177,278,326,604,1496,40.37%,336,226,17,5,584
"State Senator, District 17",0178,504,365,869,1765,49.24%,599,213,24,0,836
"State Senator, District 17",0182,590,974,1564,3405,45.93%,986,490,18,9,1503
"State Senator, District 17",0183,519,794,1313,2491,52.71%,884,366,19,8,1277
"State Senator, District 17",0214,404,491,895,1854,48.27%,570,278,20,6,874
"State Senator, District 17",0215,421,711,1132,2258,50.13%,695,362,31,13,1101
"State Senator, District 17",0217,844,631,1475,2678,55.08%,954,418,30,9,1411
"State Senator, District 17",0224,531,456,987,2238,44.10%,459,466,16,8,949
"State Senator, District 17",0227,558,423,981,1785,54.96%,747,183,8,6,944
"State Senator, District 17",0232,361,474,835,1760,47.44%,483,306,14,9,812
"State Senator, District 17",0233,890,801,1691,4445,38.04%,813,764,33,10,1620
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Joan Huffman,DEM Rita Lucido,LIB George Hardy,GRN David Courtney,Totals
"State Senator, District 17",0234,1192,913,2105,3993,52.72%,1637,365,18,3,2023
"State Senator, District 17",0255,525,648,1173,2482,47.26%,548,551,18,9,1126
