Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Bettencourt,DEM Jim Davis,LIB Whitney Bilyeu,Totals
"State Senator, District 7",0006,656,456,1112,3702,30.04%,645,422,31,1098
"State Senator, District 7",0041,176,230,406,1334,30.43%,172,222,7,401
"State Senator, District 7",0050,785,771,1556,5211,29.86%,862,635,33,1530
"State Senator, District 7",0056,282,278,560,1326,42.23%,380,151,17,548
"State Senator, District 7",0074,1153,782,1935,3583,54.01%,1552,328,22,1902
"State Senator, District 7",0082,639,671,1310,3368,38.90%,990,277,31,1298
"State Senator, District 7",0110,654,494,1148,3042,37.74%,766,345,20,1131
"State Senator, District 7",0111,816,795,1611,4102,39.27%,1203,355,33,1591
"State Senator, District 7",0112,542,485,1027,2976,34.51%,768,219,27,1014
"State Senator, District 7",0114,707,547,1254,3311,37.87%,1018,205,16,1239
"State Senator, District 7",0120,712,422,1134,3191,35.54%,765,336,15,1116
"State Senator, District 7",0124,1734,1292,3026,7254,41.71%,2430,517,46,2993
"State Senator, District 7",0125,415,332,747,2405,31.06%,459,253,19,731
"State Senator, District 7",0126,893,467,1360,3100,43.87%,1218,112,20,1350
"State Senator, District 7",0127,435,154,589,1836,32.08%,426,133,10,569
"State Senator, District 7",0143,1962,580,2542,6386,39.81%,1855,631,31,2517
"State Senator, District 7",0155,1022,619,1641,4109,39.94%,1173,429,16,1618
"State Senator, District 7",0173,817,739,1556,3599,43.23%,1269,239,31,1539
"State Senator, District 7",0209,0,2,2,0,0.00%,2,0,0,2
"State Senator, District 7",0213,826,913,1739,3350,51.91%,1416,262,20,1698
"State Senator, District 7",0225,378,405,781,3305,23.63%,403,347,19,769
"State Senator, District 7",0244,480,425,905,3117,29.03%,521,348,20,889
"State Senator, District 7",0245,948,799,1745,5828,29.94%,1214,465,46,1725
"State Senator, District 7",0246,684,513,1197,3315,36.11%,882,286,17,1185
"State Senator, District 7",0258,839,800,1639,3322,49.34%,1247,334,30,1611
"State Senator, District 7",0260,162,145,307,1260,24.37%,189,106,2,297
"State Senator, District 7",0263,858,712,1570,3693,42.51%,1222,300,25,1547
"State Senator, District 7",0265,988,759,1747,3584,48.74%,1364,322,22,1708
"State Senator, District 7",0273,548,689,1237,2470,50.08%,1025,164,20,1209
"State Senator, District 7",0300,1389,1016,2405,5406,44.49%,1963,374,36,2373
"State Senator, District 7",0305,524,432,956,4191,22.81%,403,520,15,938
"State Senator, District 7",0309,708,593,1301,2524,51.55%,1075,188,16,1279
"State Senator, District 7",0314,1121,913,2034,5647,36.02%,1294,665,49,2008
"State Senator, District 7",0370,1532,1105,2637,6593,40.00%,2014,544,44,2602
"State Senator, District 7",0385,583,670,1253,2207,56.77%,992,219,19,1230
"State Senator, District 7",0398,615,521,1136,4022,28.24%,625,479,21,1125
"State Senator, District 7",0399,402,366,768,2791,27.52%,443,309,8,760
"State Senator, District 7",0439,710,884,1594,3554,44.85%,1204,332,18,1554
