Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Republican Party,DEM Democratic Party,LIB Libertarian Party,GRN Green Party,Totals
Straight Party,0001,417,466,883,2358,37.45%,174,298,4,2,478
Straight Party,0002,334,313,647,1961,32.99%,149,190,6,1,346
Straight Party,0003,326,405,731,1560,46.86%,121,208,4,0,333
Straight Party,0004,371,487,858,1668,51.44%,165,246,6,1,418
Straight Party,0005,280,448,728,1417,51.38%,143,211,4,0,358
Straight Party,0006,656,456,1112,3702,30.04%,441,302,10,1,754
Straight Party,0007,209,110,319,1017,31.37%,6,251,0,0,257
Straight Party,0008,394,310,704,1744,40.37%,249,189,4,1,443
Straight Party,0009,206,223,429,1874,22.89%,73,169,3,2,247
Straight Party,0010,255,171,426,1753,24.30%,87,212,3,3,305
Straight Party,0011,184,176,360,1785,20.17%,50,207,4,1,262
Straight Party,0012,86,66,152,735,20.68%,68,53,0,0,121
Straight Party,0013,548,361,909,2689,33.80%,470,131,6,1,608
Straight Party,0014,442,495,937,1870,50.11%,317,216,1,2,536
Straight Party,0015,599,898,1497,2878,52.02%,484,271,5,2,762
Straight Party,0016,243,137,380,1071,35.48%,107,94,4,1,206
Straight Party,0017,185,215,400,1162,34.42%,117,121,2,0,240
Straight Party,0018,371,351,722,1443,50.03%,205,189,3,1,398
Straight Party,0019,172,207,379,1170,32.39%,72,128,1,0,201
Straight Party,0020,313,287,600,2646,22.68%,101,242,5,0,348
Straight Party,0021,179,184,363,1122,32.35%,36,168,2,1,207
Straight Party,0022,397,322,719,2473,29.07%,84,442,3,1,530
Straight Party,0023,31,22,53,541,9.80%,8,35,0,0,43
Straight Party,0024,107,88,195,655,29.77%,11,133,1,0,145
Straight Party,0025,105,143,248,1086,22.84%,7,193,1,1,202
Straight Party,0026,241,277,518,1845,28.08%,78,207,1,2,288
Straight Party,0027,463,427,890,3074,28.95%,135,382,3,5,525
Straight Party,0028,637,405,1042,3029,34.40%,500,227,1,1,729
Straight Party,0029,194,237,431,2638,16.34%,121,182,0,5,308
Straight Party,0030,369,391,760,2403,31.63%,116,357,6,2,481
Straight Party,0031,455,280,735,2511,29.27%,13,604,1,2,620
Straight Party,0032,320,405,725,2398,30.23%,172,209,7,0,388
Straight Party,0033,710,615,1325,3706,35.75%,236,415,8,2,661
Straight Party,0034,628,579,1207,2786,43.32%,157,499,10,2,668
Straight Party,0035,4,0,4,11,36.36%,0,3,0,0,3
Straight Party,0036,416,318,734,2927,25.08%,135,352,2,4,493
Straight Party,0037,547,436,983,2106,46.68%,178,341,4,3,526
Straight Party,0038,786,589,1375,2875,47.83%,266,475,5,5,751
Straight Party,0039,659,575,1234,2759,44.73%,173,464,5,3,645
Straight Party,0040,136,152,288,541,53.23%,60,68,0,0,128
