Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Kathy Handler,Joseph Ferguson,Totals
"Tomball ISD, Trustee, Position 1",0114,285,224,509,1210,42.07%,227,87,314
"Tomball ISD, Trustee, Position 1",0126,563,310,873,1843,47.37%,388,145,533
"Tomball ISD, Trustee, Position 1",0127,435,154,589,1836,32.08%,279,89,368
"Tomball ISD, Trustee, Position 1",0173,817,739,1556,3599,43.23%,713,264,977
"Tomball ISD, Trustee, Position 1",0245,3,5,8,18,44.44%,4,0,4
"Tomball ISD, Trustee, Position 1",0484,274,206,480,1094,43.88%,196,70,266
"Tomball ISD, Trustee, Position 1",0485,1095,911,2006,5388,37.23%,971,328,1299
"Tomball ISD, Trustee, Position 1",0486,873,855,1728,3866,44.70%,914,219,1133
"Tomball ISD, Trustee, Position 1",0529,1043,491,1534,3710,41.35%,728,261,989
"Tomball ISD, Trustee, Position 1",0726,592,402,994,2087,47.63%,501,133,634
"Tomball ISD, Trustee, Position 1",0878,427,354,781,1666,46.88%,490,103,593
"Tomball ISD, Trustee, Position 1",0914,169,179,348,701,49.64%,134,48,182
"Tomball ISD, Trustee, Position 1",0915,0,0,0,0,0.00%,0,0,0
"Tomball ISD, Trustee, Position 1",0916,0,0,0,0,0.00%,0,0,0
"Tomball ISD, Trustee, Position 1",0926,171,128,299,796,37.56%,151,49,200
"Tomball ISD, Trustee, Position 1",0982,312,312,624,1567,39.82%,288,89,377
"Tomball ISD, Trustee, Position 1",0983,11,21,32,161,19.88%,11,6,17
"Tomball ISD, Trustee, Position 1",1029,537,719,1256,2927,42.91%,530,190,720
"Tomball ISD, Trustee, Position 1",1036,65,24,89,449,19.82%,35,16,51
"Tomball ISD, Trustee, Position 1",Totals:,7672,6034,13706,32918,6560,2097,8657
