Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Michael J. Pratt,Totals
"Tomball ISD, Trustee, Position 2",0114,285,224,509,1210,42.07%,274,274
"Tomball ISD, Trustee, Position 2",0126,563,310,873,1843,47.37%,450,450
"Tomball ISD, Trustee, Position 2",0127,435,154,589,1836,32.08%,315,315
"Tomball ISD, Trustee, Position 2",0173,817,739,1556,3599,43.23%,874,874
"Tomball ISD, Trustee, Position 2",0245,3,5,8,18,44.44%,3,3
"Tomball ISD, Trustee, Position 2",0484,274,206,480,1094,43.88%,242,242
"Tomball ISD, Trustee, Position 2",0485,1095,911,2006,5388,37.23%,1128,1128
"Tomball ISD, Trustee, Position 2",0486,873,855,1728,3866,44.70%,967,967
"Tomball ISD, Trustee, Position 2",0529,1043,491,1534,3710,41.35%,851,851
"Tomball ISD, Trustee, Position 2",0726,592,402,994,2087,47.63%,514,514
"Tomball ISD, Trustee, Position 2",0878,427,354,781,1666,46.88%,478,478
"Tomball ISD, Trustee, Position 2",0914,169,179,348,701,49.64%,150,150
"Tomball ISD, Trustee, Position 2",0915,0,0,0,0,0.00%,0,0
"Tomball ISD, Trustee, Position 2",0916,0,0,0,0,0.00%,0,0
"Tomball ISD, Trustee, Position 2",0926,171,128,299,796,37.56%,179,179
"Tomball ISD, Trustee, Position 2",0982,312,312,624,1567,39.82%,311,311
"Tomball ISD, Trustee, Position 2",0983,11,21,32,161,19.88%,14,14
"Tomball ISD, Trustee, Position 2",1029,537,719,1256,2927,42.91%,668,668
"Tomball ISD, Trustee, Position 2",1036,65,24,89,449,19.82%,42,42
"Tomball ISD, Trustee, Position 2",Totals:,7672,6034,13706,32918,7460,7460
