Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,John E. McStravick,Totals
"Tomball ISD, Trustee, Position 3",0114,285,224,509,1210,42.07%,282,282
"Tomball ISD, Trustee, Position 3",0126,563,310,873,1843,47.37%,458,458
"Tomball ISD, Trustee, Position 3",0127,435,154,589,1836,32.08%,328,328
"Tomball ISD, Trustee, Position 3",0173,817,739,1556,3599,43.23%,858,858
"Tomball ISD, Trustee, Position 3",0245,3,5,8,18,44.44%,3,3
"Tomball ISD, Trustee, Position 3",0484,274,206,480,1094,43.88%,241,241
"Tomball ISD, Trustee, Position 3",0485,1095,911,2006,5388,37.23%,1131,1131
"Tomball ISD, Trustee, Position 3",0486,873,855,1728,3866,44.70%,953,953
"Tomball ISD, Trustee, Position 3",0529,1043,491,1534,3710,41.35%,873,873
"Tomball ISD, Trustee, Position 3",0726,592,402,994,2087,47.63%,535,535
"Tomball ISD, Trustee, Position 3",0878,427,354,781,1666,46.88%,474,474
"Tomball ISD, Trustee, Position 3",0914,169,179,348,701,49.64%,148,148
"Tomball ISD, Trustee, Position 3",0915,0,0,0,0,0.00%,0,0
"Tomball ISD, Trustee, Position 3",0916,0,0,0,0,0.00%,0,0
"Tomball ISD, Trustee, Position 3",0926,171,128,299,796,37.56%,175,175
"Tomball ISD, Trustee, Position 3",0982,312,312,624,1567,39.82%,301,301
"Tomball ISD, Trustee, Position 3",0983,11,21,32,161,19.88%,14,14
"Tomball ISD, Trustee, Position 3",1029,537,719,1256,2927,42.91%,656,656
"Tomball ISD, Trustee, Position 3",1036,65,24,89,449,19.82%,45,45
"Tomball ISD, Trustee, Position 3",Totals:,7672,6034,13706,32918,7475,7475
