Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Mark Lewandowski,Totals
"Tomball ISD, Trustee, Position 4",0114,285,224,509,1210,42.07%,277,277
"Tomball ISD, Trustee, Position 4",0126,563,310,873,1843,47.37%,463,463
"Tomball ISD, Trustee, Position 4",0127,435,154,589,1836,32.08%,315,315
"Tomball ISD, Trustee, Position 4",0173,817,739,1556,3599,43.23%,865,865
"Tomball ISD, Trustee, Position 4",0245,3,5,8,18,44.44%,2,2
"Tomball ISD, Trustee, Position 4",0484,274,206,480,1094,43.88%,239,239
"Tomball ISD, Trustee, Position 4",0485,1095,911,2006,5388,37.23%,1141,1141
"Tomball ISD, Trustee, Position 4",0486,873,855,1728,3866,44.70%,949,949
"Tomball ISD, Trustee, Position 4",0529,1043,491,1534,3710,41.35%,865,865
"Tomball ISD, Trustee, Position 4",0726,592,402,994,2087,47.63%,519,519
"Tomball ISD, Trustee, Position 4",0878,427,354,781,1666,46.88%,478,478
"Tomball ISD, Trustee, Position 4",0914,169,179,348,701,49.64%,150,150
"Tomball ISD, Trustee, Position 4",0915,0,0,0,0,0.00%,0,0
"Tomball ISD, Trustee, Position 4",0916,0,0,0,0,0.00%,0,0
"Tomball ISD, Trustee, Position 4",0926,171,128,299,796,37.56%,179,179
"Tomball ISD, Trustee, Position 4",0982,312,312,624,1567,39.82%,304,304
"Tomball ISD, Trustee, Position 4",0983,11,21,32,161,19.88%,14,14
"Tomball ISD, Trustee, Position 4",1029,537,719,1256,2927,42.91%,656,656
"Tomball ISD, Trustee, Position 4",1036,65,24,89,449,19.82%,49,49
"Tomball ISD, Trustee, Position 4",Totals:,7672,6034,13706,32918,7465,7465
