Page,Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Katherine McDaniel,DEM Hazel B. Jones,Totals
894,"District Judge, 174th Judicial District",0001,1416,496,1912,2682,71.29%,669,1104,1773
894,"District Judge, 174th Judicial District",0002,1000,370,1370,2099,65.27%,553,721,1274
894,"District Judge, 174th Judicial District",0003,875,336,1211,1625,74.52%,455,652,1107
894,"District Judge, 174th Judicial District",0004,954,369,1323,1709,77.41%,475,741,1216
894,"District Judge, 174th Judicial District",0005,759,380,1139,1470,77.48%,420,636,1056
894,"District Judge, 174th Judicial District",0006,1840,628,2468,4084,60.43%,1194,1149,2343
894,"District Judge, 174th Judicial District",0007,430,125,555,1002,55.39%,19,521,540
894,"District Judge, 174th Judicial District",0008,889,351,1240,1848,67.10%,577,594,1171
894,"District Judge, 174th Judicial District",0009,658,312,970,1861,52.12%,227,667,894
894,"District Judge, 174th Judicial District",0010,701,232,933,1830,50.98%,181,659,840
894,"District Judge, 174th Judicial District",0011,617,258,875,1748,50.06%,172,632,804
894,"District Judge, 174th Judicial District",0012,230,65,295,731,40.36%,149,133,282
894,"District Judge, 174th Judicial District",0013,1230,382,1612,2751,58.60%,1028,485,1513
894,"District Judge, 174th Judicial District",0014,989,429,1418,1924,73.70%,683,642,1325
894,"District Judge, 174th Judicial District",0015,1489,849,2338,2852,81.98%,1304,853,2157
894,"District Judge, 174th Judicial District",0016,676,189,865,1284,67.37%,389,426,815
894,"District Judge, 174th Judicial District",0017,451,293,744,1198,62.10%,287,403,690
894,"District Judge, 174th Judicial District",0018,743,367,1110,1456,76.24%,498,542,1040
894,"District Judge, 174th Judicial District",0019,647,293,940,1288,72.98%,313,567,880
894,"District Judge, 174th Judicial District",0020,1007,335,1342,2780,48.27%,417,831,1248
894,"District Judge, 174th Judicial District",0021,539,207,746,1229,60.70%,166,541,707
894,"District Judge, 174th Judicial District",0022,935,419,1354,2501,54.14%,217,1082,1299
894,"District Judge, 174th Judicial District",0023,132,74,206,551,37.39%,34,162,196
894,"District Judge, 174th Judicial District",0024,292,36,328,712,46.07%,59,255,314
894,"District Judge, 174th Judicial District",0025,239,292,531,1105,48.05%,26,489,515
894,"District Judge, 174th Judicial District",0026,834,313,1147,1969,58.25%,239,819,1058
894,"District Judge, 174th Judicial District",0027,1391,508,1899,3271,58.06%,389,1368,1757
894,"District Judge, 174th Judicial District",0028,1513,446,1959,3307,59.24%,1090,791,1881
894,"District Judge, 174th Judicial District",0029,648,490,1138,2722,41.81%,344,723,1067
894,"District Judge, 174th Judicial District",0030,1285,546,1831,2818,64.98%,538,1164,1702
894,"District Judge, 174th Judicial District",0031,784,453,1237,2656,46.57%,38,1152,1190
894,"District Judge, 174th Judicial District",0032,1245,504,1749,2728,64.11%,739,874,1613
894,"District Judge, 174th Judicial District",0033,2072,554,2525,3907,67.21%,955,1451,2406
894,"District Judge, 174th Judicial District",0034,1511,517,2128,3044,69.91%,488,1527,2015
895,"District Judge, 174th Judicial District",0035,5,0,5,14,35.71%,3,2,5
895,"District Judge, 174th Judicial District",0036,1032,516,1548,3100,49.94%,343,1119,1462
895,"District Judge, 174th Judicial District",0037,1521,409,1930,2467,78.23%,658,1118,1776
895,"District Judge, 174th Judicial District",0038,1876,436,2312,3081,75.04%,760,1398,2158
895,"District Judge, 174th Judicial District",0039,1703,492,2195,3070,71.50%,569,1459,2028
895,"District Judge, 174th Judicial District",0040,275,107,382,527,72.49%,172,181,353
895,"District Judge, 174th Judicial District",0041,712,264,976,1518,64.30%,398,533,931
895,"District Judge, 174th Judicial District",0042,438,109,547,1062,51.51%,14,521,535
895,"District Judge, 174th Judicial District",0043,815,300,1115,1972,56.54%,461,586,1047
895,"District Judge, 174th Judicial District",0044,726,310,1036,2126,48.73%,218,718,936
895,"District Judge, 174th Judicial District",0045,2263,1021,3284,5740,57.21%,615,2502,3117
895,"District Judge, 174th Judicial District",0046,875,341,1216,2568,47.35%,189,946,1135
895,"District Judge, 174th Judicial District",0047,505,268,773,1618,47.78%,40,711,751
895,"District Judge, 174th Judicial District",0048,348,168,516,967,53.36%,50,437,487
895,"District Judge, 174th Judicial District",0049,1545,731,2277,3709,61.39%,1483,695,2178
895,"District Judge, 174th Judicial District",0050,1836,680,2516,4314,58.32%,1192,1235,2427
895,"District Judge, 174th Judicial District",0051,828,271,1099,1734,63.38%,805,251,1056
895,"District Judge, 174th Judicial District",0052,1400,456,1856,2581,71.91%,842,875,1717
895,"District Judge, 174th Judicial District",0053,1675,613,2288,3083,74.21%,933,1165,2098
895,"District Judge, 174th Judicial District",0054,1052,211,1263,1619,78.01%,593,565,1158
895,"District Judge, 174th Judicial District",0055,1252,410,1672,2094,79.85%,682,855,1537
895,"District Judge, 174th Judicial District",0056,698,283,981,1393,70.42%,554,363,917
895,"District Judge, 174th Judicial District",0057,2043,567,2610,3325,78.50%,1023,1385,2408
895,"District Judge, 174th Judicial District",0058,1716,484,2200,3031,72.58%,970,1074,2044
895,"District Judge, 174th Judicial District",0059,1589,439,2028,2671,75.93%,823,1075,1898
895,"District Judge, 174th Judicial District",0060,1473,537,2010,2766,72.67%,523,1344,1867
895,"District Judge, 174th Judicial District",0061,519,423,942,1847,51.00%,246,633,879
895,"District Judge, 174th Judicial District",0062,689,452,1141,2195,51.98%,217,844,1061
