Page,Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Richard C. Vara,Totals
1521,"Justice of the Peace, Precinct 6, Place 1",0009,658,312,970,1861,52.12%,753,753
1521,"Justice of the Peace, Precinct 6, Place 1",0010,701,232,933,1830,50.98%,768,768
1521,"Justice of the Peace, Precinct 6, Place 1",0011,617,258,875,1748,50.06%,707,707
1521,"Justice of the Peace, Precinct 6, Place 1",0019,647,293,940,1288,72.98%,689,689
1521,"Justice of the Peace, Precinct 6, Place 1",0026,834,313,1147,1969,58.25%,935,935
1521,"Justice of the Peace, Precinct 6, Place 1",0027,1391,508,1899,3271,58.06%,1543,1543
1521,"Justice of the Peace, Precinct 6, Place 1",0044,726,310,1036,2126,48.73%,817,817
1521,"Justice of the Peace, Precinct 6, Place 1",0046,875,341,1216,2568,47.35%,1046,1046
1521,"Justice of the Peace, Precinct 6, Place 1",0047,505,268,773,1618,47.78%,726,726
1521,"Justice of the Peace, Precinct 6, Place 1",0048,348,168,516,967,53.36%,452,452
1521,"Justice of the Peace, Precinct 6, Place 1",0062,689,452,1141,2195,51.98%,958,958
1521,"Justice of the Peace, Precinct 6, Place 1",0064,678,368,1046,2220,47.12%,853,853
1521,"Justice of the Peace, Precinct 6, Place 1",0065,638,435,1073,2178,49.27%,901,901
1521,"Justice of the Peace, Precinct 6, Place 1",0066,247,255,502,1135,44.23%,411,411
1521,"Justice of the Peace, Precinct 6, Place 1",0067,942,521,1463,3019,48.46%,1183,1183
1521,"Justice of the Peace, Precinct 6, Place 1",0069,375,222,597,1309,45.61%,492,492
1521,"Justice of the Peace, Precinct 6, Place 1",0072,736,418,1154,2029,56.88%,958,958
1521,"Justice of the Peace, Precinct 6, Place 1",0079,831,602,1433,2963,48.36%,1196,1196
1521,"Justice of the Peace, Precinct 6, Place 1",0154,913,289,1202,2293,52.42%,986,986
1521,"Justice of the Peace, Precinct 6, Place 1",0159,348,147,495,997,49.65%,434,434
1521,"Justice of the Peace, Precinct 6, Place 1",0160,286,67,353,717,49.23%,329,329
1521,"Justice of the Peace, Precinct 6, Place 1",0161,378,173,551,992,55.54%,517,517
1521,"Justice of the Peace, Precinct 6, Place 1",0167,5,2,7,24,29.17%,7,7
1521,"Justice of the Peace, Precinct 6, Place 1",0186,252,150,402,798,50.38%,370,370
1521,"Justice of the Peace, Precinct 6, Place 1",0187,96,51,147,309,47.57%,122,122
1521,"Justice of the Peace, Precinct 6, Place 1",0201,221,105,326,773,42.17%,311,311
1521,"Justice of the Peace, Precinct 6, Place 1",0202,421,233,654,1410,46.38%,611,611
1521,"Justice of the Peace, Precinct 6, Place 1",0203,298,111,409,988,41.40%,336,336
1521,"Justice of the Peace, Precinct 6, Place 1",0218,1099,457,1556,2467,63.07%,1215,1215
1521,"Justice of the Peace, Precinct 6, Place 1",0226,840,421,1261,2554,49.37%,1051,1051
1521,"Justice of the Peace, Precinct 6, Place 1",0285,1077,431,1508,2680,56.27%,1375,1375
1521,"Justice of the Peace, Precinct 6, Place 1",0339,704,303,1007,1909,52.75%,830,830
1521,"Justice of the Peace, Precinct 6, Place 1",0343,722,370,1092,2099,52.02%,901,901
1521,"Justice of the Peace, Precinct 6, Place 1",0412,156,80,236,478,49.37%,220,220
1522,"Justice of the Peace, Precinct 6, Place 1",0530,375,212,587,1236,47.49%,472,472
1522,"Justice of the Peace, Precinct 6, Place 1",0560,290,247,537,1141,47.06%,460,460
1522,"Justice of the Peace, Precinct 6, Place 1",0736,14,3,17,42,40.48%,13,13
1522,"Justice of the Peace, Precinct 6, Place 1",0766,126,59,185,428,43.22%,148,148
1522,"Justice of the Peace, Precinct 6, Place 1",0844,4,0,4,10,40.00%,4,4
1522,"Justice of the Peace, Precinct 6, Place 1",0846,61,22,83,229,36.24%,80,80
1522,"Justice of the Peace, Precinct 6, Place 1",0852,0,0,0,1,0.00%,0,0
